year,rank,male_name,female_name
2019,1,Liam,Olivia
2019,2,Noah,Emma
2019,3,Oliver,Ava
2019,4,William,Sophia
2019,5,Elijah,Isabella
2019,6,James,Charlotte
2019,7,Benjamin,Amelia
2019,8,Lucas,Mia
2019,9,Mason,Harper
2019,10,Ethan,Evelyn
2019,11,Alexander,Abigail
2019,12,Henry,Emily
2019,13,Jacob,Ella
2019,14,Michael,Elizabeth
2019,15,Daniel,Camila
2019,16,Logan,Luna
2019,17,Jackson,Sofia
2019,18,Sebastian,Avery
2019,19,Jack,Mila
2019,20,Aiden,Aria
2018,1,Liam,Emma
2018,2,Noah,Olivia
2018,3,William,Ava
2018,4,James,Isabella
2018,5,Oliver,Sophia
2018,6,Benjamin,Charlotte
2018,7,Elijah,Mia
2018,8,Lucas,Amelia
2018,9,Mason,Harper
2018,10,Logan,Evelyn
2018,11,Alexander,Abigail
2018,12,Ethan,Emily
2018,13,Jacob,Elizabeth
2018,14,Michael,Mila
2018,15,Daniel,Ella
2018,16,Henry,Avery
2018,17,Jackson,Sofia
2018,18,Sebastian,Camila
2018,19,Aiden,Aria
2018,20,Matthew,Scarlett
2017,1,Liam,Emma
2017,2,Noah,Olivia
2017,3,William,Ava
2017,4,James,Isabella
2017,5,Logan,Sophia
2017,6,Benjamin,Mia
2017,7,Mason,Charlotte
2017,8,Elijah,Amelia
2017,9,Oliver,Evelyn
2017,10,Jacob,Abigail
2017,11,Lucas,Harper
2017,12,Michael,Emily
2017,13,Alexander,Elizabeth
2017,14,Ethan,Avery
2017,15,Daniel,Sofia
2017,16,Matthew,Ella
2017,17,Aiden,Madison
2017,18,Henry,Scarlett
2017,19,Joseph,Victoria
2017,20,Jackson,Aria
2016,1,Noah,Emma
2016,2,Liam,Olivia
2016,3,William,Ava
2016,4,Mason,Sophia
2016,5,James,Isabella
2016,6,Benjamin,Mia
2016,7,Jacob,Charlotte
2016,8,Michael,Abigail
2016,9,Elijah,Emily
2016,10,Ethan,Harper
2016,11,Alexander,Amelia
2016,12,Oliver,Evelyn
2016,13,Daniel,Elizabeth
2016,14,Lucas,Sofia
2016,15,Matthew,Madison
2016,16,Aiden,Avery
2016,17,Jackson,Ella
2016,18,Logan,Scarlett
2016,19,David,Grace
2016,20,Joseph,Chloe
2015,1,Noah,Emma
2015,2,Liam,Olivia
2015,3,Mason,Sophia
2015,4,Jacob,Ava
2015,5,William,Isabella
2015,6,Ethan,Mia
2015,7,James,Abigail
2015,8,Alexander,Emily
2015,9,Michael,Charlotte
2015,10,Benjamin,Harper
2015,11,Elijah,Madison
2015,12,Daniel,Amelia
2015,13,Aiden,Elizabeth
2015,14,Logan,Sofia
2015,15,Matthew,Evelyn
2015,16,Lucas,Avery
2015,17,Jackson,Chloe
2015,18,David,Ella
2015,19,Oliver,Grace
2015,20,Jayden,Victoria
2014,1,Noah,Emma
2014,2,Liam,Olivia
2014,3,Mason,Sophia
2014,4,Jacob,Isabella
2014,5,William,Ava
2014,6,Ethan,Mia
2014,7,Michael,Emily
2014,8,Alexander,Abigail
2014,9,James,Madison
2014,10,Daniel,Charlotte
2014,11,Elijah,Harper
2014,12,Benjamin,Sofia
2014,13,Logan,Avery
2014,14,Aiden,Elizabeth
2014,15,Jayden,Amelia
2014,16,Matthew,Evelyn
2014,17,Jackson,Ella
2014,18,David,Chloe
2014,19,Lucas,Victoria
2014,20,Joseph,Grace
2013,1,Noah,Sophia
2013,2,Jacob,Emma
2013,3,Liam,Olivia
2013,4,Mason,Isabella
2013,5,William,Ava
2013,6,Ethan,Mia
2013,7,Michael,Emily
2013,8,Alexander,Abigail
2013,9,Jayden,Madison
2013,10,Daniel,Elizabeth
2013,11,Elijah,Charlotte
2013,12,Aiden,Avery
2013,13,James,Sofia
2013,14,Benjamin,Chloe
2013,15,Matthew,Ella
2013,16,Jackson,Harper
2013,17,David,Amelia
2013,18,Logan,Aubrey
2013,19,Anthony,Addison
2013,20,Joseph,Evelyn
