date,baseline,high_bound,low_bound
1975,333.96,,
1980,342.59,,
1985,350.80,,
1990,359.38,,
1995,367.69,,
2000,375.77,,
2005,387.04,,
2010,400.30,,
2015,414.29,,
2020,430.75,435.99,428.46
2025,446.91,454.68,443.58
2030,463.69,474.58,459.11
2035,481.48,496.08,475.46
2040,499.90,518.94,492.20
2045,519.07,543.35,509.44
2050,538.87,569.17,527.10
2055,559.94,597.09,545.82
2060,582.78,627.66,566.07
2065,607.16,660.82,587.62
2070,633.24,696.65,610.60
2075,660.88,735.23,634.84
2080,689.36,775.81,659.59
2085,718.78,818.00,685.16
2090,749.00,861.85,711.31
2095,780.41,907.46,738.56
2100,812.56,954.36,766.41
