Date,Sony,Microsoft,Nintendo
9/1/2012,89.83,0,10.17
10/1/2012,90.57,0,9.43
11/1/2012,91.69,0,8.31
12/1/2012,91.26,0,8.74
1/1/2013,90.27,0,9.73
2/1/2013,89.32,0,10.68
3/1/2013,88.23,0,11.77
4/1/2013,87.36,0,12.64
5/1/2013,87.01,0,12.99
6/1/2013,86.45,0,13.55
7/1/2013,84.85,0,15.15
8/1/2013,84.47,0,15.53
9/1/2013,84.37,0,15.63
10/1/2013,83.71,0,16.29
11/1/2013,84.26,0,15.74
12/1/2013,83.08,0,16.92
1/1/2014,73.76,10.82,15.42
2/1/2014,68.23,16.18,15.59
3/1/2014,66.63,18.76,14.61
4/1/2014,66.07,19.15,14.78
5/1/2014,64.71,20.31,14.98
6/1/2014,62.97,21.11,15.91
7/1/2014,58.06,24.49,17.45
8/1/2014,54,26.86,19.13
9/1/2014,54.98,27.29,17.73
10/1/2014,57.04,25.73,17.22
11/1/2014,59.45,24.53,16.02
12/1/2014,62.22,23.42,14.36
1/1/2015,59.3,25.63,15.07
2/1/2015,59.58,27.21,13.21
3/1/2015,60.34,27.1,12.56
4/1/2015,59.83,27.15,13.02
5/1/2015,63.9,25.4,10.7
6/1/2015,62.37,26.03,11.6
7/1/2015,61.25,26.38,12.37
8/1/2015,59.95,28.18,11.87
9/1/2015,61.06,29.12,9.82
10/1/2015,64.87,25.9,9.23
11/1/2015,65.79,25.64,8.56
12/1/2015,66.46,25.11,8.43
1/1/2016,66.56,25.66,7.78
2/1/2016,68.12,24.9,6.98
3/1/2016,67.71,26.15,6.14
4/1/2016,70.02,23.29,6.69
5/1/2016,69.1,24.6,6.31
6/1/2016,71.45,22.2,6.35
7/1/2016,70.78,23.28,5.94
8/1/2016,67.27,26.13,6.6
9/1/2016,68.74,25.2,6.07
10/1/2016,72.21,22.27,5.52
11/1/2016,69.27,25.1,5.63
12/1/2016,69.25,25.29,5.46
1/1/2017,68.91,26.21,4.89
2/1/2017,68.83,26.81,4.35
3/1/2017,70.29,25.71,4
4/1/2017,70.3,25.9,3.8
5/1/2017,71.54,24.91,3.55
6/1/2017,70.89,25.44,3.66
7/1/2017,69.5,26.17,4.33
8/1/2017,68.79,27.05,4.16
9/1/2017,67.79,28.44,3.77
10/1/2017,28.8,69.95,1.26
11/1/2017,38.26,60.26,1.49
12/1/2017,70.48,26.46,3.06
1/1/2018,70.78,26.44,2.78
2/1/2018,70.51,25.9,3.59
3/1/2018,72.81,23.95,3.24
4/1/2018,72.57,24.27,3.16
5/1/2018,73.34,23.28,3.38
6/1/2018,70.59,26.14,3.27
7/1/2018,70.34,26.1,3.56
8/1/2018,70.19,26.28,3.53
9/1/2018,73.4,23.43,3.17
10/1/2018,73.14,23.87,3
11/1/2018,69.59,25.75,4.66
12/1/2018,65.37,27.22,7.41
1/1/2019,70.21,27.32,2.48
2/1/2019,67.61,30.08,2.31
3/1/2019,62.45,35.28,2.27
4/1/2019,63.44,34.59,1.98
5/1/2019,61.1,37.29,1.62
6/1/2019,55.85,42.9,1.24
7/1/2019,48.22,50.78,0.99
8/1/2019,45.56,53.49,0.95
9/1/2019,62.42,36.13,1.45
10/1/2019,63.81,34.92,1.27
11/1/2019,66.55,32.28,1.17
12/1/2019,68.45,30.52,1.03
1/1/2020,68.29,30.71,1.01
2/1/2020,68.08,31.04,0.87
3/1/2020,57.7,41.62,0.68
4/1/2020,41.44,58.12,0.44
5/1/2020,40.87,58.68,0.45
6/1/2020,65.99,33.46,0.55
7/1/2020,64.68,35.32,0.01
8/1/2020,63.39,36.6,0.01
9/1/2020,64.22,35.77,0.01
10/1/2020,66.33,33.66,0.01
11/1/2020,65.09,34.9,0
12/1/2020,62.62,37.38,0.01
1/1/2021,65.05,34.94,0.01
2/1/2021,62.89,37.09,0.02
3/1/2021,64.33,35.66,0.02
4/1/2021,65.79,34.19,0.02
5/1/2021,66.66,33.29,0.05
6/1/2021,57.79,42.19,0.03
7/1/2021,59.45,40.55,0.01
8/1/2021,58.17,41.81,0.01
9/1/2021,52.11,47.89,0.01
10/1/2021,58.61,41.38,0.02
11/1/2021,90.87,9.04,0.09
12/1/2021,91.45,8.53,0.02
1/1/2022,92.24,7.72,0.04
2/1/2022,93.03,6.89,0.08
3/1/2022,89.31,10.59,0.1
4/1/2022,87.38,12.52,0.09
5/1/2022,87.85,12.09,0.06
6/1/2022,86.53,13.41,0.06
7/1/2022,85.72,14.25,0.03
8/1/2022,85.98,13.99,0.02
9/1/2022,87.07,12.9,0.03
10/1/2022,86.79,13.17,0.04
11/1/2022,86.27,13.69,0.04
