date,status
10/30/2020,0
10/31/2020,0
11/1/2020,0
11/2/2020,0
11/3/2020,0
11/4/2020,0
11/5/2020,0
11/6/2020,0
11/7/2020,0
11/8/2020,0
11/9/2020,0
11/10/2020,0
11/11/2020,0
11/12/2020,0
11/13/2020,0
11/14/2020,0
11/15/2020,0
11/16/2020,0
11/17/2020,0
11/18/2020,0
11/19/2020,2
11/20/2020,0
11/21/2020,0
11/22/2020,2
11/23/2020,2
11/24/2020,2
11/25/2020,2
11/26/2020,0
11/27/2020,1
11/28/2020,1
11/29/2020,1
11/30/2020,1
12/1/2020,2
12/2/2020,2
12/3/2020,2
12/4/2020,2
12/5/2020,2
12/6/2020,2
12/7/2020,2
12/8/2020,2
12/9/2020,2
12/10/2020,1
12/11/2020,1
12/12/2020,0
12/13/2020,0
12/14/2020,1
12/15/2020,1
12/16/2020,0
12/17/2020,0
12/18/2020,0
12/19/2020,0
12/20/2020,0
12/21/2020,0
12/22/2020,0
12/23/2020,0
12/24/2020,0
12/25/2020,0
12/26/2020,0
12/27/2020,0
12/28/2020,0
12/29/2020,0
12/30/2020,0
12/31/2020,0
1/1/2021,0
1/2/2021,0
1/3/2021,0
1/4/2021,0
1/5/2021,0
1/6/2021,1
1/7/2021,1
1/8/2021,1
1/9/2021,1
1/10/2021,1
1/11/2021,1
1/12/2021,1
1/13/2021,1
1/14/2021,1
1/15/2021,1
1/16/2021,1
1/17/2021,1
1/18/2021,1
1/19/2021,2
1/20/2021,1
1/21/2021,1
1/22/2021,1
1/23/2021,1
1/24/2021,1
1/25/2021,1
1/26/2021,1
1/27/2021,1
1/28/2021,0
