Rk,Player,Pos,Age,Tm,Points,Rebounds,Assists,Field Goal,3-Point FG
4,Trae Young,PG,21,ATL,29.3,4.6,9,44.5,37
100,Kevin Huerter,SG,21,ATL,12.2,4.2,3.3,42,39.5
103,De'Andre Hunter,SF,22,ATL,12.1,3.8,1.8,40.9,33.6
158,Cam Reddish,SF,20,ATL,9.1,3.8,1.5,34.9,30.9
167,Alex Len,C,26,ATL,8.7,5.8,1.1,54.6,25
220,Damian Jones,C,24,ATL,6.1,3.8,0.6,68.7,25
227,DeAndre' Bembry,SG,25,ATL,5.8,3.5,1.9,45.6,23.1
243,Vince Carter,SF,43,ATL,5.3,2.3,1,34.7,28
263,Bruno Fernando,C,21,ATL,4.1,3.3,0.9,51,13.3
19,Jayson Tatum,PF,21,BOS,22.1,6.8,3,43.9,38.2
20,Kemba Walker,PG,29,BOS,21.9,4,5.1,43.7,39
28,Jaylen Brown,SF,23,BOS,20.3,6.5,2.2,49.6,37.5
99,Marcus Smart,SG,25,BOS,12.3,3.6,4.9,37.9,35
146,Enes Kanter,C,27,BOS,9.6,8.4,1.1,59.5,16.7
180,Daniel Theis,C,27,BOS,8.1,6.1,1.6,55,31.7
216,Brad Wanamaker,PG,30,BOS,6.6,2,2.6,42.6,36.5
269,Grant Williams,PF,21,BOS,3.8,2.7,1.1,42.9,26.5
272,Semi Ojeleye,PF,25,BOS,3.1,1.9,0.5,39.5,35
274,Javonte Green,SF,26,BOS,3,1.7,0.5,51.1,26.1
23,Spencer Dinwiddie,SG,26,BRK,21,3.4,6.5,42,31.6
83,Joe Harris,SF,28,BRK,13.7,4.2,2.1,46.7,40.4
93,Taurean Waller-Prince,SF,25,BRK,12.5,6.3,2,38.7,35.3
118,Jarrett Allen,C,21,BRK,11,9.6,1.4,64.3,0
133,Garrett Temple,SG,33,BRK,10.2,3.3,2.5,37.5,32.3
184,DeAndre Jordan,C,31,BRK,8,9.7,2,67.3,0
13,Zach LaVine,SG,24,CHI,24.9,4.8,4.1,44.2,37.3
74,Lauri Markkanen,PF,22,CHI,15,6.5,1.5,42.4,34.4
