country,code,population,life_expectancy,fertility_rate,population_urban,population_rural
China,CHN,1397715000,76.704,1.69,60.3,39.7
India,IND,1366417754,69.416,2.222,34.5,65.5
United States,USA,328239523,78.53902,1.7295,82.5,17.5
Indonesia,IDN,270625568,71.509,2.311,56,44
Pakistan,PAK,216565318,67.114,3.51,36.9,63.1
Brazil,BRA,211049527,75.672,1.73,86.8,13.2
Bangladesh,BGD,163046161,72.32,2.036,37.4,62.6
Russia,RUS,144373535,72.65732,1.57,76.6,25.4
Mexico,MEX,127575529,74.992,2.129,80.4,19.6
Japan,JPN,126264931,84.21098,1.42,91.7,8.3
