city,state_id,lat,lng,population,timezone
Westvale,NY,43.0400,-76.2177,5000,America/New_York
Gillespie,IL,39.1258,-89.8173,5002,America/Chicago
Midfield,AL,33.4552,-86.9226,5002,America/Chicago
Oak Park Heights,MN,45.0324,-92.8099,5003,America/Chicago
Hudson,TX,31.3285,-94.8014,5005,America/Chicago
Ridgeland,SC,32.4680,-80.9176,5005,America/New_York
Dwight,IL,41.0987,-88.4240,5005,America/Chicago
Greenfield,OH,39.3535,-83.3884,5008,America/New_York
Swoyersville,PA,41.2975,-75.8799,5009,America/New_York
Hoopeston,IL,40.4608,-87.6635,5009,America/Chicago
West Sayville,NY,40.7294,-73.1050,5010,America/New_York
Mullins,SC,34.2042,-79.2535,5010,America/New_York
Hawaiian Ocean View,HI,19.0959,-155.7750,5011,Pacific/Honolulu
Guerneville,CA,38.5137,-122.9894,5014,America/Los_Angeles
West Salem,WI,43.8989,-91.0883,5015,America/Chicago
Abbeville,SC,34.1787,-82.3774,5019,America/New_York
Muleshoe,TX,34.2292,-102.7284,5019,America/Chicago
Glennville,GA,31.9382,-81.9305,5020,America/New_York
Sea Cliff,NY,40.8441,-73.6442,5020,America/New_York
Doney Park,AZ,35.2687,-111.5053,5021,America/Phoenix
Whiskey Creek,FL,26.5733,-81.8903,5022,America/New_York
Olyphant,PA,41.4507,-75.5753,5023,America/New_York
Stafford Springs,CT,41.9595,-72.3105,5023,America/New_York
Worland,WY,44.0026,-107.9543,5024,America/Denver
La Crescent,MN,43.8299,-91.3043,5029,America/Chicago
Terryville,CT,41.6784,-73.0064,5030,America/New_York
Barling,AR,35.3284,-94.2792,5036,America/Chicago
Krum,TX,33.2652,-97.2256,5036,America/Chicago
Mechanicville,NY,42.9037,-73.6895,5037,America/New_York
Amelia,OH,39.0229,-84.2184,5039,America/New_York
Summit,WI,43.0504,-88.4815,5041,America/Chicago
Montevideo,MN,44.9505,-95.7153,5043,America/Chicago
Sulphur,OK,34.4977,-96.9899,5043,America/Chicago
Dundee,FL,28.0115,-81.5995,5044,America/New_York
North Scituate,MA,42.2121,-70.7652,5044,America/New_York
Carver,MN,44.7600,-93.6305,5046,America/Chicago
Offutt AFB,NE,41.1207,-95.9209,5048,America/Chicago
Berkeley,IL,41.8891,-87.9114,5048,America/Chicago
Clifton,AZ,33.0249,-109.2883,5049,America/Phoenix
Salinas,PR,17.9779,-66.2961,5051,America/Puerto_Rico
Glen Head,NY,40.8450,-73.6180,5053,America/New_York
West Hills,NY,40.8198,-73.4339,5055,America/New_York
Stewartstown,PA,39.7528,-76.5925,5057,America/New_York
Buckley,WA,47.1615,-122.0200,5058,America/Los_Angeles
Gretna,NE,41.1319,-96.2447,5058,America/Chicago
Iowa Falls,IA,42.5190,-93.2662,5059,America/Chicago
Roseburg North,OR,43.2653,-123.3025,5059,America/Los_Angeles
Monee,IL,41.4181,-87.7499,5061,America/Chicago
Saltillo,MS,34.3789,-88.6939,5062,America/Chicago
Munroe Falls,OH,41.1386,-81.4344,5063,America/New_York
Massac,KY,37.0335,-88.6859,5064,America/Chicago
Shanor-Northvue,PA,40.9104,-79.9157,5068,America/New_York
Glencoe,AL,33.9449,-85.9319,5071,America/Chicago
Maplewood,WA,47.3716,-122.5689,5072,America/Los_Angeles
De Motte,IN,41.1988,-87.1973,5073,America/Chicago
Silver Springs,NV,39.3826,-119.2149,5073,America/Los_Angeles
Vinton,IA,42.1631,-92.0260,5075,America/Chicago
Fox Chapel,PA,40.5247,-79.8898,5076,America/New_York
North Fond du Lac,WI,43.8107,-88.4861,5081,America/Chicago
Crestwood,KY,38.3356,-85.4839,5081,America/New_York
Rio Hondo,TX,26.2347,-97.5817,5082,America/Chicago
Sheldon,IA,43.1796,-95.8441,5082,America/Chicago
Holbrook,AZ,34.9044,-110.1672,5084,America/Phoenix
Four Corners,MT,45.6704,-111.1780,5084,America/Denver
Morganville,NJ,40.3756,-74.2444,5088,America/New_York
New Burlington,OH,39.2624,-84.5520,5088,America/New_York
Lakeview,GA,34.9777,-85.2539,5089,America/New_York
Town and Country,WA,47.7259,-117.4220,5090,America/Los_Angeles
South Haven,IN,41.5438,-87.1367,5092,America/Chicago
Hugo,OK,34.0121,-95.5115,5092,America/Chicago
Tice,FL,26.6758,-81.8171,5092,America/New_York
South Pasadena,FL,27.7526,-82.7394,5095,America/New_York
Highland Lakes,NJ,41.1716,-74.4643,5098,America/New_York
Johnstown,OH,40.1500,-82.6881,5098,America/New_York
Belleview,FL,29.0609,-82.0565,5101,America/New_York
Denair,CA,37.5262,-120.7994,5101,America/Los_Angeles
Buellton,CA,34.6152,-120.1943,5102,America/Los_Angeles
Daleville,AL,31.2915,-85.7117,5102,America/Chicago
Scott City,MO,37.2243,-89.5360,5104,America/Chicago
Portland,MI,42.8696,-84.8990,5104,America/Detroit
Poplar Grove,IL,42.3516,-88.8353,5104,America/Chicago
Schuylkill Haven,PA,40.6284,-76.1729,5106,America/New_York
Utica,MI,42.6290,-83.0218,5107,America/Detroit
Coco,PR,18.0010,-66.2603,5108,America/Puerto_Rico
Kings Park,VA,38.8026,-77.2396,5109,America/New_York
Quantico Base,VA,38.5228,-77.3187,5109,America/New_York
Carmi,IL,38.0863,-88.1718,5111,America/Chicago
McGuire AFB,NJ,40.0285,-74.5883,5113,America/New_York
Bowie,TX,33.5566,-97.8440,5114,America/Chicago
Post,TX,33.1911,-101.3814,5115,America/Chicago
Battlement Mesa,CO,39.4505,-108.0066,5116,America/Denver
Tara Hills,CA,37.9939,-122.3188,5117,America/Los_Angeles
Silver Hill,MD,38.8392,-76.9367,5120,America/New_York
Colona,IL,41.4678,-90.3445,5120,America/Chicago
Kenneth City,FL,27.8155,-82.7162,5121,America/New_York
Lone Grove,OK,34.1809,-97.2559,5121,America/Chicago
Flagler Beach,FL,29.4716,-81.1303,5123,America/New_York
Canutillo,TX,31.9185,-106.6006,5123,America/Denver
Rainsville,AL,34.4939,-85.8435,5123,America/Chicago
Spring Valley,IL,41.3357,-89.2034,5125,America/Chicago
Homestead Meadows North,TX,31.8483,-106.1707,5126,America/Denver
Sergeant Bluff,IA,42.3976,-96.3517,5127,America/Chicago
Humboldt,IA,42.7232,-94.2245,5128,America/Chicago
Primera,TX,26.2237,-97.7528,5130,America/Chicago
Carle Place,NY,40.7500,-73.6122,5131,America/New_York
Colville,WA,48.5454,-117.8986,5135,America/Los_Angeles
Margaret,AL,33.6735,-86.4680,5137,America/Chicago
Turtle Creek,PA,40.4085,-79.8214,5138,America/New_York
St. Clairsville,OH,40.0792,-80.8997,5141,America/New_York
Ayden,NC,35.4694,-77.4167,5141,America/New_York
Glendale,CO,39.7036,-104.9352,5141,America/Denver
Bristol,WI,42.5378,-88.0149,5142,America/Chicago
Peñuelas,PR,18.0595,-66.7206,5142,America/Puerto_Rico
Birdsboro,PA,40.2620,-75.8099,5143,America/New_York
Ottawa,OH,41.0203,-84.0354,5147,America/New_York
Bret Harte,CA,37.6021,-121.0045,5148,America/Los_Angeles
Hanamaulu,HI,21.9954,-159.3493,5150,Pacific/Honolulu
Bliss Corner,MA,41.6054,-70.9421,5150,America/New_York
