date,revenue
Q1 1993,2000
Q2 1993,1974
Q3 1993,1862
Q4 1993,2141
Q1 1994,2469
Q2 1994,2077
Q3 1994,2150
Q4 1994,2493
Q1 1995,2832
Q2 1995,2652
Q3 1995,2575
Q4 1995,3003
Q1 1996,3148
Q2 1996,2185
Q3 1996,2179
Q4 1996,2321
Q1 1997,2129
Q2 1997,1601
Q3 1997,1737
Q4 1997,1614
Q1 1998,1578
Q2 1998,1405
Q3 1998,1402
Q4 1998,1556
Q1 1999,1710
Q2 1999,1530
Q3 1999,1558
Q4 1999,1336
Q1 2000,2343
Q2 2000,1945
Q3 2000,1825
Q4 2000,1870
Q1 2001,1007
Q2 2001,1431
Q3 2001,1475
Q4 2001,1450
Q1 2002,1375
Q2 2002,1495
Q3 2002,1429
Q4 2002,1443
Q1 2003,1472
Q2 2003,1475
Q3 2003,1545
Q4 2003,1715
Q1 2004,2006
Q2 2004,1909
Q3 2004,2014
Q4 2004,2350
Q1 2005,3490
Q2 2005,3243
Q3 2005,3520
Q4 2005,3678
Q1 2006,5749
Q2 2006,4359
Q3 2006,4370
Q4 2006,4837
Q1 2007,7115
Q2 2007,5264
Q3 2007,5410
Q4 2007,6217
Q1 2008,9608
Q2 2008,7512
Q3 2008,7464
Q4 2008,7895
Q1 2009,11880
Q2 2009,9084
Q3 2009,9734
Q4 2009,12207
Q1 2010,15683
Q2 2010,13499
Q3 2010,15700
Q4 2010,20343
Q1 2011,26741
Q2 2011,24667
Q3 2011,28571
Q4 2011,28270
Q1 2012,46333
Q2 2012,39186
Q3 2012,35023
Q4 2012,35966
Q1 2013,54512
Q2 2013,43603
Q3 2013,35323
Q4 2013,37472
Q1 2014,57594
Q2 2014,45646
Q3 2014,37432
Q4 2014,42123
Q1 2015,74599
Q2 2015,58010
Q3 2015,49605
Q4 2015,51501
Q1 2016,75872
Q2 2016,50557
Q3 2016,42358
Q4 2016,46852
Q1 2017,78351
Q2 2017,52896
Q3 2017,45408
Q4 2017,52579
Q1 2018,88293
Q2 2018,61137
Q3 2018,53265
Q4 2018,62900
Q1 2019,84310
Q2 2019,58015
Q3 2019,53809
Q4 2019,64040
Q1 2020,91819
Q2 2020,58313
Q3 2020,59685
