Province,Electors2021,Electors2019,Electors2015,Electors2011,Ballots2021,Ballots2019,Ballots2015,Ballots2011,VoterTurnout2021,VoterTurnout2019,VoterTurnout2015,VoterTurnout2011
Newfoundland and Labrador,418226.00,420067.00,421038.00,414779.00,220631.00,246889.00,257389.00,218166.00,52.80,58.80,61.10,52.60
Prince Edward Island,118964.00,116721.00,113505.00,108456.00,85277.00,86362.00,87868.00,79511.00,71.70,74.00,77.40,73.30
Nova Scotia,779247.00,771411.00,742931.00,733094.00,492740.00,538738.00,526069.00,454266.00,63.20,69.80,70.80,62.00
New Brunswick,622974.00,616704.00,597542.00,592818.00,400901.00,444356.00,444459.00,392208.00,64.40,72.10,74.40,66.20
Quebec,6508575.00,6482847.00,6393478.00,6130307.00,4132267.00,4360030.00,4303758.00,3853120.00,63.50,67.30,67.30,62.90
Ontario,10492441.00,10484419.00,9691517.00,9033266.00,6505569.00,6947807.00,6572378.00,5556608.00,62.00,66.30,67.80,61.50
Manitoba,931927.00,927347.00,887983.00,831041.00,577577.00,595998.00,603240.00,493340.00,62.00,64.30,67.90,59.40
Saskatchewan,808175.00,807984.00,779405.00,723814.00,518913.00,586536.00,553792.00,456501.00,64.20,72.60,71.10,63.10
Alberta,3033419.00,3023980.00,2842504.00,2509390.00,1954910.00,2093981.00,1937228.00,1400674.00,64.40,69.20,68.20,55.80
British Columbia,3713048.00,3641258.00,3392598.00,3109917.00,2279961.00,2402554.00,2374317.00,1879304.00,61.40,66.00,70.00,60.40
Yukon,30482.00,29591.00,26879.00,24341.00,19548.00,21150.00,20385.00,16124.00,64.10,71.50,75.80,66.20
Northwest Territories,30519.00,30704.00,30110.00,29020.00,14250.00,16416.00,19077.00,15655.00,46.70,53.50,63.40,53.90
Nunavut,21499.00,20025.00,20252.00,17349.00,7267.00,9542.00,12023.00,7931.00,33.80,47.70,59.40,45.70
