occupation,age,persons
"Management, professional, and related occupations",16-19,436
"Management, professional, and related occupations",20-24,3359
"Management, professional, and related occupations",25-34,14673
"Management, professional, and related occupations",35-44,14572
"Management, professional, and related occupations",45-54,13979
"Management, professional, and related occupations",55-64,11126
"Management, professional, and related occupations",65+,4291
Service occupations,16-19,2092
Service occupations,20-24,3668
Service occupations,25-34,6150
Service occupations,35-44,4898
Service occupations,45-54,4816
Service occupations,55-64,3772
Service occupations,65+,1458
Sales and office occupations,16-19,1714
Sales and office occupations,20-24,3995
Sales and office occupations,25-34,7106
Sales and office occupations,35-44,6099
Sales and office occupations,45-54,6471
Sales and office occupations,55-64,5752
Sales and office occupations,65+,2324
"Natural resources, construction, and maintenance occupations",16-19,356
"Natural resources, construction, and maintenance occupations",20-24,1241
"Natural resources, construction, and maintenance occupations",25-34,3383
"Natural resources, construction, and maintenance occupations",35-44,3434
"Natural resources, construction, and maintenance occupations",45-54,3041
"Natural resources, construction, and maintenance occupations",55-64,2433
"Natural resources, construction, and maintenance occupations",65+,584
"Production, transportation, and material moving occupations",16-19,529
"Production, transportation, and material moving occupations",20-24,1788
"Production, transportation, and material moving occupations",25-34,4013
"Production, transportation, and material moving occupations",35-44,3614
"Production, transportation, and material moving occupations",45-54,4066
"Production, transportation, and material moving occupations",55-64,3481
"Production, transportation, and material moving occupations",65+,1048
