country,year,fertility_rate,life_expectancy,population
Afghanistan,1990,7.466,50.331,12412311
Albania,1990,2.978,71.836,3286542
Algeria,1990,4.726,66.938,25758872
Angola,1990,7.272,45.306,11848385
Antigua and Barbuda,1990,2.067,71.52,62533
Argentina,1990,2.997,71.594,32618648
Armenia,1990,2.544,67.879,3538164
Aruba,1990,2.249,73.468,62152
Australia,1990,1.902,76.99463415,17065100
Austria,1990,1.46,75.56829268,7677850
Azerbaijan,1990,2.74,64.827,7175200
"Bahamas, The",1990,2.64,70.199,256227
Bahrain,1990,3.732,72.39,495927
Bangladesh,1990,4.495,58.21,103171957
Barbados,1990,1.74,74.704,260933
Belarus,1990,1.913,70.83658537,10189348
Belgium,1990,1.62,76.05195122,9967379
Belize,1990,4.508,71.242,187554
Benin,1990,6.744,53.812,4978489
Bhutan,1990,5.493,52.878,59326
Bolivia,1990,4.89,56.099,6864839
Bosnia and Herzegovina,1990,1.772,70.877,4463422
Botswana,1990,4.485,59.191,1286756
Brazil,1990,2.902,66.343,149003225
Brunei Darussalam,1990,3.29,70.185,258714
Bulgaria,1990,1.82,71.64146341,8718289
Burkina Faso,1990,7.007,49.454,8811033
Burundi,1990,7.405,47.829,5438959
Cabo Verde,1990,5.392,64.676,337953
Cambodia,1990,5.601,53.595,8975597
Cameroon,1990,6.436,53.362,11780086
Canada,1990,1.83,77.42195122,27691138
Central African Republic,1990,5.811,49.104,2806740
Chad,1990,7.313,47.019,5963250
Channel Islands,1990,1.483,75.41,140677
Chile,1990,2.579,73.509,13274617
China,1990,2.309,69.145,1135185000
Colombia,1990,3.082,69.75,33102569
Comoros,1990,6.412,56.677,411598
"Congo, Dem. Rep.",1990,6.746,49.043,34612023
"Congo, Rep.",1990,5.119,54.638,2356740
Costa Rica,1990,3.264,75.654,3119436
Cote d'Ivoire,1990,6.622,53.254,11924873
Croatia,1990,1.63,72.1704878,4777368
Cuba,1990,1.714,74.638,10596986
Cyprus,1990,2.411,76.554,766616
Czech Republic,1990,1.9,71.38390244,10333355
Denmark,1990,1.67,74.80536585,5140939
Djibouti,1990,6.073,56.678,590393
Dominican Republic,1990,3.411,66.574,7133491
Ecuador,1990,3.744,68.899,10230931
"Egypt, Arab Rep.",1990,4.58,64.572,56134478
El Salvador,1990,3.964,64,5270074
Equatorial Guinea,1990,5.987,48.775,419188
Eritrea,1990,6.496,49.588,2258649
Estonia,1990,2.05,69.47560976,1569174
Eswatini,1990,5.106,61.95,822423
Ethiopia,1990,7.246,47.099,47887864
Faroe Islands,1990,2.8,76.11463415,47276
Fiji,1990,3.398,65.379,728575
Finland,1990,1.78,74.81317073,4986431
France,1990,1.77,76.6,58235716
French Polynesia,1990,3.401,68.704,199906
Gabon,1990,5.442,60.965,949493
"Gambia, The",1990,6.096,52.221,955595
Georgia,1990,2.18,70.386,4802000
Germany,1990,1.45,75.2277561,79433029
Ghana,1990,5.602,56.776,14773274
Greece,1990,1.39,76.93902439,10196792
Grenada,1990,3.842,69.598,96328
Guam,1990,3.013,71.925,130480
