name,storage,processor,initial_os,latest_os,display_size,display_resolution,rear_camera,front_camera,weight,height,width,depth,power,ram,touch_id,face_id
iPhone 1,"4 GB, 8 GB, 16 GB",Samsung RISC ARM 11,iPhone OS 1.0,iPhone OS 3.1.3,3.5 in,480 x 320 (163 ppi),2 MP,N/A,135 g (4.8 oz),115 mm (4.5 in),61 mm (2.4 in),11.6 mm (0.46 in),"1,400 mA·h",128 MB,no,no
iPhone 3G,"8 GB, 16 GB",Samsung RISC ARM 11,iPhone OS 2.0,iOS 4.2.1,3.5 in,480 x 320 (163 ppi),2 MP,N/A,133 g (4.7 oz),115.5 mm (4.55 in),62.1 mm (2.44 in),12.3 mm (0.48 in),"1,150 mA·h",128 MB,no,no
iPhone 3GS,"8 GB, 16 GB, 32 GB",Samsung S5PC100,iPhone OS 3.0,iOS 6.1.6,3.5 in,480 x 320 (163 ppi),3 MP,0.3 MP,135 g (4.8 oz),115.5 mm (4.55 in),62.1 mm (2.44 in),12.3 mm (0.48 in),"1,219 mA·h",256 MB,no,no
iPhone 4,"8 GB, 16 GB, 32 GB",Apple A4,iOS 4.0,iOS 7.1.2,3.5 in,960 x 640 (326 ppi),5 MP,0.3 MP,137 g (4.8 oz),115.2 mm (4.54 in),58.6 mm (2.31 in),9.3 mm (0.37 in),"1,420 mA·h",512 MB,no,no
iPhone 4S,"8 GB, 16 GB, 32 GB, 64 GB",Apple A5,iOS 5.0,iOS 9.3.6,3.5 in,960 x 640 (326 ppi),8 MP,0.3 MP,140 g (4.9 oz),115.2 mm (4.54 in),58.6 mm (2.31 in),9.3 mm (0.37 in),"1,432 mA·h",512 MB,no,no
iPhone 5,"16 GB, 32 GB, 64 GB",Apple A6,iOS 6.0,iOS 10.3.4,4 in,1136 x 640 (326 ppi),8 MP,1.2 MP,112 g (4.0 oz),123.8 mm (4.87 in),58.6 mm (2.31 in),7.6 mm (0.30 in),"1,440 mA·h",1 GB,no,no
iPhone 5C,"8 GB, 16 GB, 32 GB",Apple A6,iOS 7.0,iOS 10.3.3,4 in,1136 x 640 (326 ppi),8 MP,1.2 MP,132 g (4.7 oz),124.4 mm (4.90 in),59.2 mm (2.33 in),8.97 mm (0.353 in),"1,510 mA·h",1 GB,no,no
iPhone 5S,"16 GB, 32 GB, 64 GB",Apple A7,iOS 7.0,iOS 12.4.7,4 in,1136 x 640 (326 ppi),8 MP Wide,1.2 MP FaceTime HD,112 g (4.0 oz),123.8 mm (4.87 in),58.6 mm (2.31 in),6.9 mm (0.27 in),"1,560 mA·h",1 GB,yes,no
iPhone 6,"16 GB, 32 GB, 64 GB, 128 GB",Apple A8,iOS 8.0,iOS 12.4.7,4.7 in,1334 x 750 (326 ppi),8 MP Wide,1.2 MP FaceTime HD,129 g (4.6 oz),138.1 mm (5.44 in),67.0 mm (2.64 in),7.1 mm (0.28 in),"1,810 mA·h",1 GB,yes,no
iPhone 6 Plus,"16 GB, 64 GB, 128 GB",Apple A8,iOS 8.0,iOS 12.4.7,5.5 in,1920 x 1080 (401 ppi),8 MP Wide,1.2 MP FaceTime HD,172 g (6.1 oz),158.1 mm (6.22 in),77.8 mm (3.06 in),7.6 mm (0.30 in),"2,915 mA·h",1 GB,yes,no
iPhone 6S,"16 GB, 32 GB, 64 GB, 128 GB",Apple A9,iOS 9.0,iOS 13.5.1,4.7 in,1334 x 750 (326 ppi),12 MP Wide,5 MP FaceTime HD,143 g (5.0 oz),138.3 mm (5.44 in),67.1 mm (2.64 in),7.1 mm (0.28 in),"1,715 mA·h",2 GB,yes,no
iPhone 6S Plus,"16 GB, 32 GB, 64 GB, 128 GB",Apple A9,iOS 9.0,iOS 13.5.1,5.5 in,1920 x 1080 (401 ppi),12 MP Wide,5 MP FaceTime HD,192 g (6.8 oz),158.2 mm (6.23 in),77.9 mm (3.07 in),7.3 mm (0.29 in),"2,750 mA·h",2 GB,yes,no
iPhone SE 1,"16 GB, 32 GB, 64 GB, 128 GB",Apple A9,iOS 9.3,iOS 13.5.1,4 in,1136 x 640 (326 ppi),12 MP Wide,1.2 MP FaceTime HD,113 g (4.0 oz),123.8 mm (4.87 in),58.6 mm (2.31 in),7.6 mm (0.30 in),"1,624 mA·h",2 GB,yes,no
iPhone 7,"32 GB, 128 GB, 256 GB",Apple A10 Fusion,iOS 10.0,iOS 13.5.1,4.7 in,1334 x 750 (326 ppi),12 MP Wide,7 MP FaceTime HD,138 g (4.9 oz),138.3 mm (5.44 in),67.1 mm (2.64 in),7.1 mm (0.28 in),"1,960 mA·h",2 GB,yes,no
iPhone 7 Plus,"32 GB, 128 GB, 256 GB",Apple A10 Fusion,iOS 10.0,iOS 13.5.1,5.5 in,1920 x 1080 (401 ppi),12 MP Wide and 12 MP Telephoto,7 MP FaceTime HD,188 g (6.6 oz),158.2 mm (6.23 in),77.9 mm (3.07 in),7.3 mm (0.29 in),"2,915 mA·h",3 GB,yes,no
iPhone 8,"64 GB, 128 GB, 256 GB",Apple A11 Bionic,iOS 11.0,iOS 13.5.1,4.7 in,1334 x 750 (326 ppi),12 MP Wide,7 MP FaceTime HD,148 g (5.2 oz),138.4 mm (5.45 in),67.3 mm (2.65 in),7.3 mm (0.29 in),"1,821 mA·h",2 GB,yes,no
iPhone 8 Plus,"64 GB, 128 GB, 256 GB",Apple A11 Bionic,iOS 11.0,iOS 13.5.1,5.5 in,1920 x 1080 (401 ppi),12 MP Wide and 12 MP Telephoto,7 MP FaceTime HD,202 g (7.1 oz),158.4 mm (6.24 in),78.1 mm (3.07 in),7.5 mm (0.30 in),"2,691 mA·h",3 GB,yes,no
iPhone X,"64 GB, 256 GB",Apple A11 Bionic,iOS 11.0.1,iOS 13.5.1,5.85 in,2436 x 1125 (458 ppi),12 MP Wide and 12 MP Telephoto,7 MP TrueDepth,174 g (6.1 oz),143.6 mm (5.65 in),70.9 mm (2.79 in),7.7 mm (0.30 in),"2,716 mA·h",3 GB,no,yes
iPhone Xs,"64 GB, 256 GB, 512 GB",Apple A12 Bionic,iOS 12.0,iOS 13.5.1,5.85 in,2436 x 1125 (458 ppi),12 MP Wide and 12 MP Telephoto,7 MP TrueDepth,177 g (6.2 oz),143.6 mm (5.65 in),70.9 mm (2.79 in),7.7 mm (0.30 in),"2,659 mA·h",4 GB,no,yes
