place,sex,official_time,birth_date
1,M,0:31:53,06/28/1981
2,M,0:31:54,06/05/1981
3,M,0:31:54,03/18/1984
4,M,0:33:24,02/07/1990
5,M,0:33:34,11/24/1996
6,M,0:33:57,01/01/1985
7,M,0:33:57,01/01/1985
8,M,0:34:41,05/23/1964
9,M,0:34:47,11/24/1990
10,M,0:34:49,02/08/1988
11,M,0:35:09,07/20/1970
12,M,0:35:12,12/05/1973
13,M,0:35:17,01/10/1963
14,M,0:35:20,06/09/1983
15,M,0:35:25,08/15/1971
16,M,0:35:28,12/17/1987
17,M,0:35:43,01/20/1985
18,M,0:35:48,05/23/1993
19,M,0:35:48,12/30/1983
20,M,0:35:53,03/09/1966
21,M,0:35:56,11/04/1993
22,F,0:35:58,05/06/1994
23,M,0:36:01,03/29/1995
24,M,0:36:22,07/15/1974
25,M,0:36:26,02/25/1978
26,M,0:36:30,03/25/1964
27,F,0:36:30,05/31/1992
28,M,0:36:34,01/18/1955
29,M,0:36:42,09/02/1979
30,M,0:36:45,05/31/1971
31,M,0:36:46,11/28/1962
32,M,0:36:50,06/11/1975
33,M,0:37:10,12/17/1985
34,M,0:37:12,11/06/1974
35,M,0:37:13,09/07/1993
36,M,0:37:20,11/25/1990
37,M,0:37:24,09/19/1974
38,M,0:37:25,05/12/1990
39,M,0:37:26,05/08/1982
40,M,0:37:43,06/17/1961
41,M,0:37:53,12/24/1963
42,M,0:37:54,10/24/1977
43,M,0:38:01,12/11/1980
44,M,0:38:20,05/17/1986
45,M,0:38:20,12/22/1975
46,M,0:38:20,12/13/1967
47,M,0:38:28,09/28/1987
48,M,0:38:32,09/21/1965
49,M,0:38:36,08/23/1974
50,M,0:38:40,10/25/1992
51,M,0:38:40,11/16/1979
52,M,0:38:42,10/24/1982
53,M,0:38:43,08/06/1975
54,M,0:38:46,02/21/1983
55,M,0:38:51,02/04/1979
56,M,0:38:51,09/15/1969
57,M,0:38:55,08/13/1987
58,M,0:39:03,08/10/1974
59,M,0:39:08,02/26/1996
60,M,0:39:15,04/21/1986
61,M,0:39:15,04/09/1968
62,M,0:39:15,03/17/1973
63,M,0:39:16,07/13/1966
64,M,0:39:17,04/12/1962
65,M,0:39:19,08/11/1962
66,M,0:39:21,01/17/1974
67,M,0:39:22,05/15/1982
68,M,0:39:24,05/31/1982
69,M,0:39:24,05/15/1975
70,M,0:39:26,07/15/1969
71,M,0:39:28,05/24/1988
72,M,0:39:29,02/14/1980
73,M,0:39:30,07/11/1966
74,M,0:39:30,04/27/1991
75,M,0:39:33,09/09/1955
76,M,0:39:38,07/08/1988
77,F,0:39:40,01/01/1980
78,M,0:39:41,04/25/1971
79,M,0:39:42,06/06/1962
80,M,0:39:43,02/14/1984
81,M,0:39:50,03/14/1981
82,M,0:39:57,08/29/1980
83,M,0:39:59,02/22/1980
84,M,0:40:00,12/26/1965
85,M,0:40:01,07/15/1977
86,M,0:40:08,04/21/1977
87,M,0:40:10,03/15/1987
88,M,0:40:11,02/10/1975
89,M,0:40:22,08/01/1990
90,M,0:40:23,12/10/1971
91,M,0:40:24,01/10/1980
92,M,0:40:26,02/22/1986
93,M,0:40:26,10/15/1982
94,M,0:40:30,12/09/1972
95,M,0:40:32,07/15/1976
96,M,0:40:34,03/25/1981
97,M,0:40:37,06/25/1972
98,M,0:40:44,12/21/1975
99,M,0:40:48,09/10/1979
100,M,0:40:51,01/17/1973
101,M,0:40:52,10/17/1976
102,M,0:40:52,01/01/1987
103,M,0:40:53,09/11/1990
104,M,0:40:54,09/10/1954
105,M,0:40:56,06/04/1980
106,M,0:40:59,10/12/1971
107,M,0:41:01,09/16/1980
108,M,0:41:06,01/16/1970
109,M,0:41:08,04/05/1995
110,M,0:41:11,12/21/1996
111,M,0:41:12,07/15/1970
112,M,0:41:12,02/16/1993
113,M,0:41:18,01/18/1976
114,M,0:41:23,01/15/1956
115,M,0:41:24,12/08/1977
116,M,0:41:27,01/02/1983
117,M,0:41:28,01/21/1971
118,M,0:41:32,08/06/1953
119,M,0:41:33,02/01/1971
120,M,0:41:34,09/21/1985
121,M,0:41:35,10/27/1983
122,M,0:41:37,11/15/1976
123,M,0:41:39,03/05/1975
124,M,0:41:40,07/02/1975
125,M,0:41:45,03/10/1985
126,M,0:41:47,02/18/1971
127,M,0:41:47,03/15/1987
128,M,0:41:49,01/13/1997
129,M,0:41:54,05/29/1989
130,M,0:41:59,04/19/1982
131,M,0:42:00,05/08/1981
132,M,0:42:00,03/21/1984
133,M,0:42:00,07/08/1982
134,M,0:42:02,10/28/1981
135,M,0:42:04,08/15/1969
136,F,0:42:13,06/21/1976
137,M,0:42:14,04/04/1985
138,M,0:42:14,02/08/1978
139,M,0:42:16,11/04/1990
140,M,0:42:17,08/07/1991
141,M,0:42:18,05/28/1981
142,M,0:42:24,02/01/1994
143,M,0:42:24,03/07/1982
144,F,0:42:24,07/19/1953
145,M,0:42:27,07/26/1976
146,M,0:42:29,02/03/1982
147,M,0:42:29,03/03/1965
148,M,0:42:31,09/17/1972
149,M,0:42:32,05/02/1977
150,M,0:42:32,09/11/1987
151,M,0:42:41,04/16/1981
152,M,0:42:47,09/09/1983
153,M,0:42:47,06/07/1978
154,M,0:42:50,04/06/1985
155,M,0:42:51,07/21/1967
156,M,0:42:54,01/02/1977
157,M,0:42:54,01/13/1985
158,M,0:42:56,03/18/1968
159,M,0:42:56,08/14/1962
160,M,0:42:57,03/10/1960
161,M,0:42:58,07/24/1981
162,M,0:43:01,09/17/1977
