region,option,before_covid,after_covid
Total,The whole time,11.3,20
Total,Some of the time,21,36.7
Total,Never,64.5,36.7
Total,Don't know,3.2,6.6
London,The whole time,17,18.6
London,Some of the time,27.7,42.9
London,Never,53.8,30
London,Don't know,1.5,8.5
Rest of South,The whole time,8.9,15.5
Rest of South,Some of the time,21.4,37.9
Rest of South,Never,67.9,39.7
Rest of South,Don't know,1.8,6.9
Midlands / Wales,The whole time,9.5,19.7
Midlands / Wales,Some of the time,20.6,34.4
Midlands / Wales,Never,63.5,37.7
Midlands / Wales,Don't know,6.4,8.2
North,The whole time,15,20.3
North,Some of the time,20,32.2
North,Never,63.3,42.4
North,Don't know,1.7,5.1
Scotland,The whole time,11.5,23.4
Scotland,Some of the time,14.8,39.1
Scotland,Never,72.1,29.7
Scotland,Don't know,1.6,7.8
