governors,approve,neutral,disapprove,party,state
Mike Dunleavy,43,16,41,Republican,AK
Kay Ivey,57,13,30,Republican,AL
Asa Hutchinson,59,17,24,Republican,AR
Doug Ducey,52,18,30,Republican,AZ
Gavin Newsom,43,21,36,Democrat,CA
Jared Polis,46,19,35,Democrat,CO
Ned Lamont,35,17,48,Democrat,CT
John Carney,55,20,25,Democrat,DE
Ron DeSantis,58,20,22,Republican,FL
Brian Kemp,53,19,28,Republican,GA
David Ige,36,14,50,Democrat,HI
Kim Reynolds,45,14,41,Republican,IA
Brad Little,59,19,22,Republican,ID
JB Pritzker,43,15,42,Democrat,IL
Eric Holcomb,51,26,23,Republican,IN
Laura Kelly,52,25,23,Democrat,KS
Matt Bevin,34,13,53,Republican,KY
John Bel Edwards,52,17,31,Democrat,LA
Charlie Baker,73,11,16,Republican,MA
Larry Hogan,70,14,16,Republican,MD
Janet Mills,46,10,44,Democrat,ME
Gretchen Whitmer,46,20,34,Democrat,MI
Tim Walz,51,20,29,Democrat,MN
Mike Parson,48,27,25,Republican,MO
Phil Bryant,55,19,26,Republican,MS
Steve Bullock,53,16,31,Democrat,MT
Roy Cooper,48,22,30,Democrat,NC
Doug Burgum,58,23,19,Republican,ND
Pete Ricketts,54,12,34,Republican,NE
Chris Sununu,62,12,26,Republican,NH
Phil Murphy,45,17,38,Democrat,NJ
Michelle Lujan Grisham,47,16,37,Democrat,NM
Steve Sisolak,52,23,25,Democrat,NV
Andrew Cuomo,48,11,41,Democrat,NY
Mike DeWine,48,20,32,Republican,OH
Kevin Stitt,59,22,19,Republican,OK
Kate Brown,38,12,50,Democrat,OR
Tom Wolf,53,14,33,Democrat,PA
Gina Raimondo,36,8,56,Democrat,RI
Henry McMaster,54,20,26,Republican,SC
Kristi Noem,48,11,41,Republican,SD
Bill Lee,56,25,19,Republican,TN
Greg Abbott,59,17,24,Republican,TX
Gary Herbert,55,17,28,Republican,UT
Ralph Northam,42,20,38,Democrat,VA
Phil Scott,64,13,23,Republican,VT
Jay Inslee,47,18,35,Democrat,WA
Tony Evers,49,17,34,Democrat,WI
Jim Justice,42,11,47,Republican,WV
Mark Gordon,63,24,13,Republican,WY
