county,county_code,state,personal_income_2020,percent_change_2020
Autauga,001,Alabama,46814,5.5
Baldwin,003,Alabama,50953,5.6
Barbour,005,Alabama,37850,6.4
Bibb,007,Alabama,34300,8.8
Blount,009,Alabama,38808,5.0
Bullock,011,Alabama,31944,13.5
Butler,013,Alabama,39988,5.0
Calhoun,015,Alabama,40195,6.6
Chambers,017,Alabama,38508,6.6
Cherokee,019,Alabama,37869,4.1
Chilton,021,Alabama,38778,6.3
Choctaw,023,Alabama,42231,8.0
Clarke,025,Alabama,40822,10.1
Clay,027,Alabama,37179,8.8
Cleburne,029,Alabama,37734,5.1
Coffee,031,Alabama,45262,4.5
Colbert,033,Alabama,41941,7.9
Conecuh,035,Alabama,36908,9.9
Coosa,037,Alabama,34683,6.6
Covington,039,Alabama,37930,5.6
Crenshaw,041,Alabama,38161,3.7
Cullman,043,Alabama,42659,3.5
Dale,045,Alabama,40111,6.0
Dallas,047,Alabama,41195,11.2
DeKalb,049,Alabama,35100,5.0
Elmore,051,Alabama,47270,6.1
Escambia,053,Alabama,37137,8.2
Etowah,055,Alabama,39852,5.7
Fayette,057,Alabama,38001,6.0
Franklin,059,Alabama,37362,7.3
Geneva,061,Alabama,38358,5.2
Greene,063,Alabama,35992,10.6
Hale,065,Alabama,41190,8.9
Henry,067,Alabama,45409,3.8
Houston,069,Alabama,47072,6.3
Jackson,071,Alabama,40089,5.5
Jefferson,073,Alabama,58424,3.2
Lamar,075,Alabama,37161,7.6
Lauderdale,077,Alabama,40729,6.8
Lawrence,079,Alabama,38098,7.6
Lee,081,Alabama,42468,5.0
Limestone,083,Alabama,47695,6.4
Lowndes,085,Alabama,44921,8.4
Macon,087,Alabama,37834,10.6
Madison,089,Alabama,57128,5.5
Marengo,091,Alabama,43854,8.8
Marion,093,Alabama,36330,8.7
Marshall,095,Alabama,40045,5.6
Mobile,097,Alabama,42823,7.0
Monroe,099,Alabama,38192,10.7
Montgomery,101,Alabama,47776,7.1
Morgan,103,Alabama,44679,6.6
Perry,105,Alabama,36217,12.5
Pickens,107,Alabama,36861,6.6
Pike,109,Alabama,40342,6.0
Randolph,111,Alabama,35208,4.4
Russell,113,Alabama,36526,8.1
Shelby,117,Alabama,43279,5.5
St. Clair,115,Alabama,59588,3.1
Sumter,119,Alabama,35310,10.1
Talladega,121,Alabama,38300,7.2
Tallapoosa,123,Alabama,45058,5.9
Tuscaloosa,125,Alabama,42868,6.3
Walker,127,Alabama,44095,5.0
Washington,129,Alabama,40371,7.5
Wilcox,131,Alabama,38273,12.7
Winston,133,Alabama,38382,8.1
Aleutians East,013,Alaska,59574,-2.5
Aleutians West,016,Alaska,59674,6.0
Anchorage,020,Alaska,70477,2.4
Bethel,050,Alaska,47936,5.0
Bristol Bay,060,Alaska,152678,5.1
Denali,068,Alaska,72967,-11.7
Dillingham,070,Alaska,60792,-0.1
Fairbanks North Star,090,Alaska,62254,5.2
Haines,100,Alaska,64956,-8.2
Hoonah-Angoon,105,Alaska,64708,-1.0
Juneau,110,Alaska,74162,2.6
Kenai Peninsula,122,Alaska,56139,3.9
Ketchikan Gateway,130,Alaska,70574,0.3
Kodiak Island,150,Alaska,66988,4.4
Lake and Peninsula,164,Alaska,63397,-0.9
Matanuska-Susitna,170,Alaska,50386,4.3
Nome,180,Alaska,55950,4.5
North Slope,185,Alaska,90809,-2.0
Northwest Arctic,188,Alaska,52440,4.2
Petersburg,195,Alaska,72412,1.8
Prince of Wales-Hyder,198,Alaska,48970,2.9
Sitka,220,Alaska,70996,-0.7
Skagway,230,Alaska,66548,-18.0
Southeast Fairbanks,240,Alaska,54808,5.4
Valdez-Cordova,261,Alaska,,
Wade Hampton,270,Alaska,33968,8.1
Wrangell,275,Alaska,48549,-0.1
Yakutat,282,Alaska,66119,0.6
Yukon-Koyukuk,290,Alaska,63675,5.8
Apache,001,Arizona,38915,15.0
Cochise,003,Arizona,45786,12.9
Coconino,005,Arizona,53036,8.6
Gila,007,Arizona,44201,11.3
Graham,009,Arizona,35072,12.5
Greenlee,011,Arizona,44050,7.2
La Paz,012,Arizona,39482,14.8
Maricopa,013,Arizona,53521,7.8
Mohave,015,Arizona,36529,6.6
Navajo,017,Arizona,36169,13.0
Pima,019,Arizona,48373,8.3
Pinal,021,Arizona,35949,9.9
Santa Cruz,023,Arizona,42204,10.3
Yavapai,025,Arizona,44490,8.3
Yuma,027,Arizona,40800,16.4
Arkansas,001,Arkansas,50534,9.8
Ashley,003,Arkansas,38489,3.1
Baxter,005,Arkansas,39950,5.5
Benton,007,Arkansas,94289,0.2
Boone,009,Arkansas,38108,5.3
Bradley,011,Arkansas,42037,7.5
Calhoun,013,Arkansas,38509,7.5
Carroll,015,Arkansas,34692,5.4
Chicot,017,Arkansas,44762,15.0
Clark,019,Arkansas,39450,6.9
Clay,021,Arkansas,39157,8.9
Cleburne,023,Arkansas,41656,6.0
Cleveland,025,Arkansas,40366,1.8
Columbia,027,Arkansas,38806,4.2
Conway,029,Arkansas,40633,5.6
Craighead,031,Arkansas,40728,6.2
Crawford,033,Arkansas,35919,6.2
Crittenden,035,Arkansas,41474,8.0
Cross,037,Arkansas,41715,11.7
Dallas,039,Arkansas,40611,9.2
Desha,041,Arkansas,44920,13.7
Drew,043,Arkansas,40726,7.4
Faulkner,045,Arkansas,41943,6.6
Franklin,047,Arkansas,33885,3.2
Fulton,049,Arkansas,31840,11.9
Garland,051,Arkansas,44358,6.9
Grant,053,Arkansas,41674,6.0
Greene,055,Arkansas,38560,7.5
Hempstead,057,Arkansas,33760,6.2
Hot Spring,059,Arkansas,34110,7.6
Howard,061,Arkansas,34751,2.0
Independence,063,Arkansas,38266,5.4
Izard,065,Arkansas,32606,6.3
Jackson,067,Arkansas,41646,9.4
Jefferson,069,Arkansas,39443,9.4
Johnson,071,Arkansas,30728,6.8
Lafayette,073,Arkansas,38307,7.4
Lawrence,075,Arkansas,38065,13.3
Lee,077,Arkansas,32359,6.9
Lincoln,079,Arkansas,29008,4.7
Little River,081,Arkansas,37075,7.8
Logan,083,Arkansas,34433,5.4
Lonoke,085,Arkansas,43537,6.6
Madison,087,Arkansas,34012,0.3
Marion,089,Arkansas,33493,6.3
Miller,091,Arkansas,37065,7.1
Mississippi,093,Arkansas,37730,5.1
Monroe,095,Arkansas,40475,14.1
Montgomery,097,Arkansas,32125,8.0
Nevada,099,Arkansas,35808,5.5
Newton,101,Arkansas,32731,8.1
Ouachita,103,Arkansas,41877,8.5
Perry,105,Arkansas,38404,6.1
Phillips,107,Arkansas,38155,12.0
Pike,109,Arkansas,33920,5.0
Poinsett,111,Arkansas,37307,7.6
Polk,113,Arkansas,32573,6.8
Pope,115,Arkansas,36617,3.4
Prairie,117,Arkansas,42843,18.1
Pulaski,119,Arkansas,55563,5.8
Randolph,121,Arkansas,36401,8.2
Saline,125,Arkansas,30903,8.2
Scott,127,Arkansas,45692,5.7
Searcy,129,Arkansas,32290,4.5
Sebastian,131,Arkansas,31657,12.0
Sevier,133,Arkansas,45586,5.3
Sharp,135,Arkansas,32926,3.8
St. Francis,123,Arkansas,35612,3.9
Stone,137,Arkansas,32753,5.1
Union,139,Arkansas,48669,5.6
Van Buren,141,Arkansas,34482,8.6
Washington,143,Arkansas,43817,5.2
White,145,Arkansas,39598,6.7
Woodruff,147,Arkansas,45248,20.2
Yell,149,Arkansas,33506,1.3
Alameda,001,California,87078,10.5
Alpine,003,California,76175,-4.4
Amador,005,California,47721,8.5
Butte,007,California,50279,11.3
Calaveras,009,California,53026,9.4
Colusa,011,California,57382,28.5
Contra Costa,013,California,92264,9.0
Del Norte,015,California,40192,11.4
El Dorado,017,California,72662,6.7
Fresno,019,California,48495,12.7
Glenn,021,California,52219,20.7
Humboldt,023,California,50182,8.9
Imperial,025,California,44500,19.6
Inyo,027,California,64335,6.8
Kern,029,California,44721,13.0
Kings,031,California,41829,14.8
Lake,033,California,47144,11.9
Lassen,035,California,40490,13.8
Los Angeles,037,California,68272,8.3
Madera,039,California,44532,14.9
Marin,041,California,145575,4.8
Mariposa,043,California,57828,7.4
Mendocino,045,California,54795,10.0
Merced,047,California,43914,15.7
Modoc,049,California,52779,16.3
Mono,051,California,54586,10.6
Monterey,053,California,61510,8.8
Napa,055,California,82408,11.5
Nevada,057,California,64876,6.9
Orange,059,California,74618,6.7
Placer,061,California,72279,6.9
Plumas,063,California,55029,7.8
Riverside,065,California,45834,10.8
Sacramento,067,California,58307,9.4
San Benito,069,California,60807,15.2
San Bernardino,071,California,44831,10.6
San Diego,073,California,66266,8.9
San Francisco,075,California,144818,8.2
San Joaquin,077,California,51816,15.0
San Luis Obispo,079,California,62342,6.2
San Mateo,081,California,141841,7.3
Santa Barbara,083,California,67879,8.2
Santa Clara,085,California,123661,7.9
Santa Cruz,087,California,75957,10.1
Shasta,089,California,51649,11.3
Sierra,091,California,49139,8.2
Siskiyou,093,California,49664,12.5
Solano,095,California,58688,13.1
Sonoma,097,California,71386,10.0
Stanislaus,099,California,48954,12.8
Sutter,101,California,50730,12.6
Tehama,103,California,46007,12.8
Trinity,105,California,43877,9.8
Tulare,107,California,46348,15.8
Tuolumne,109,California,49708,7.7
Ventura,111,California,67422,6.7
Yolo,113,California,58391,7.3
Yuba,115,California,46373,12.1
Adams,001,Colorado,48115,6.9
Alamosa,003,Colorado,42974,11.9
Arapahoe,005,Colorado,66691,4.6
Archuleta,007,Colorado,46287,7.0
Baca,009,Colorado,53223,36.2
Bent,011,Colorado,33591,14.8
Boulder,013,Colorado,79649,3.0
Broomfield,014,Colorado,67495,3.2
Chaffee,015,Colorado,51361,4.8
Cheyenne,017,Colorado,61731,17.3
Clear Creek,019,Colorado,67132,6.7
Conejos,021,Colorado,39847,12.9
Costilla,023,Colorado,38430,14.6
Crowley,025,Colorado,23751,18.2
Custer,027,Colorado,45691,7.8
Delta,029,Colorado,42127,10.0
Denver,031,Colorado,85411,2.7
Dolores,033,Colorado,42093,10.9
Douglas,035,Colorado,78980,3.4
Eagle,037,Colorado,87872,3.1
El Paso,041,Colorado,63970,5.4
Elbert,039,Colorado,54151,6.5
Fremont,043,Colorado,38952,9.1
Garfield,045,Colorado,62581,3.7
Gilpin,047,Colorado,55256,9.4
Grand,049,Colorado,57476,6.7
Gunnison,051,Colorado,51025,7.7
Hinsdale,053,Colorado,49423,2.5
Huerfano,055,Colorado,46859,14.4
Jackson,057,Colorado,62008,15.4
Jefferson,059,Colorado,68829,4.0
Kiowa,061,Colorado,66839,25.4
Kit Carson,063,Colorado,47198,12.6
La Plata,067,Colorado,40344,8.7
Lake,065,Colorado,61304,6.2
Larimer,069,Colorado,58725,5.0
Las Animas,071,Colorado,43118,13.0
Lincoln,073,Colorado,35695,21.3
Logan,075,Colorado,46217,8.1
Mesa,077,Colorado,48435,5.5
Mineral,079,Colorado,73101,1.4
Moffat,081,Colorado,47467,10.9
Montezuma,083,Colorado,46919,9.1
Montrose,085,Colorado,45262,8.0
Morgan,087,Colorado,48701,8.2
Otero,089,Colorado,41333,11.0
Ouray,091,Colorado,67263,6.3
Park,093,Colorado,48514,6.3
Phillips,095,Colorado,49877,13.9
Pitkin,097,Colorado,155067,-1.1
Prowers,099,Colorado,41990,7.3
Pueblo,101,Colorado,43196,9.3
Rio Blanco,103,Colorado,52422,7.4
Rio Grande,105,Colorado,53641,11.3
Routt,107,Colorado,85836,4.5
Saguache,109,Colorado,40032,16.2
San Juan,111,Colorado,50039,9.7
San Miguel,113,Colorado,93954,4.7
Sedgwick,115,Colorado,50896,13.7
Summit,117,Colorado,77754,5.9
Teller,119,Colorado,54587,6.3
Washington,121,Colorado,49287,18.2
Weld,123,Colorado,52054,6.4
Yuma,125,Colorado,47285,7.3
Fairfield,001,Connecticut,120244,1.5
Hartford,003,Connecticut,67938,5.3
Litchfield,005,Connecticut,67118,3.1
Middlesex,007,Connecticut,71291,4.3
New Haven,009,Connecticut,60092,6.0
New London,011,Connecticut,61191,5.3
Tolland,013,Connecticut,59590,4.7
Windham,015,Connecticut,50747,7.4
Kent,001,Delaware,46600,6.5
New Castle,003,Delaware,59955,4.4
Sussex,005,Delaware,54352,2.7
District of Columbia,001,District of Columbia,86567,7.1
Alachua,001,Florida,49556,6.3
Baker,003,Florida,36552,7.8
Bay,005,Florida,50696,8.3
Bradford,007,Florida,36301,6.9
Brevard,009,Florida,51507,6.1
Broward,011,Florida,55908,5.8
Calhoun,013,Florida,32264,10.9
Charlotte,015,Florida,45606,4.7
Citrus,017,Florida,41933,5.6
Clay,019,Florida,47407,5.8
Collier,021,Florida,103865,0.6
Columbia,023,Florida,38243,7.4
DeSoto,027,Florida,27863,8.3
Dixie,029,Florida,30651,7.5
Duval,031,Florida,51131,6.3
Escambia,033,Florida,47381,6.8
Flagler,035,Florida,50599,3.8
