state,code,region,year,population
Alabama,AL,South,1900,1830000
Alabama,AL,South,1901,1907000
Alabama,AL,South,1902,1935000
Alabama,AL,South,1903,1957000
Alabama,AL,South,1904,1978000
Alabama,AL,South,1905,2012000
Alabama,AL,South,1906,2045000
Alabama,AL,South,1907,2058000
Alabama,AL,South,1908,2070000
Alabama,AL,South,1909,2108000
Alabama,AL,South,1910,2150000
Alabama,AL,South,1911,2185000
Alabama,AL,South,1912,2217000
Alabama,AL,South,1913,2279000
Alabama,AL,South,1914,2336000
Alabama,AL,South,1915,2345000
Alabama,AL,South,1916,2359000
Alabama,AL,South,1917,2361000
Alabama,AL,South,1918,2343000
Alabama,AL,South,1919,2337000
Alabama,AL,South,1920,2359000
Alabama,AL,South,1921,2402000
Alabama,AL,South,1922,2434000
Alabama,AL,South,1923,2464000
Alabama,AL,South,1924,2501000
Alabama,AL,South,1925,2534000
Alabama,AL,South,1926,2567000
Alabama,AL,South,1927,2609000
Alabama,AL,South,1928,2640000
Alabama,AL,South,1929,2644000
Alabama,AL,South,1930,2647000
Alabama,AL,South,1931,2649000
Alabama,AL,South,1932,2653000
Alabama,AL,South,1933,2661000
Alabama,AL,South,1934,2685000
Alabama,AL,South,1935,2719000
Alabama,AL,South,1936,2743000
Alabama,AL,South,1937,2762000
Alabama,AL,South,1938,2787000
Alabama,AL,South,1939,2814000
Alabama,AL,South,1940,2845000
Alabama,AL,South,1941,2902000
Alabama,AL,South,1942,2941000
Alabama,AL,South,1943,2902000
Alabama,AL,South,1944,2802000
Alabama,AL,South,1945,2775000
Alabama,AL,South,1946,2911000
Alabama,AL,South,1947,2942000
Alabama,AL,South,1948,2969000
Alabama,AL,South,1949,3000000
Alabama,AL,South,1950,3058000
Alabama,AL,South,1951,3059000
Alabama,AL,South,1952,3068000
Alabama,AL,South,1953,3053000
Alabama,AL,South,1954,3014000
Alabama,AL,South,1955,3050000
Alabama,AL,South,1956,3071000
Alabama,AL,South,1957,3109000
Alabama,AL,South,1958,3163000
Alabama,AL,South,1959,3204000
Alabama,AL,South,1960,3274000
Alabama,AL,South,1961,3316000
Alabama,AL,South,1962,3323000
Alabama,AL,South,1963,3358000
Alabama,AL,South,1964,3395000
Alabama,AL,South,1965,3443000
Alabama,AL,South,1966,3464000
Alabama,AL,South,1967,3458000
Alabama,AL,South,1968,3446000
Alabama,AL,South,1969,3440000
Alabama,AL,South,1970,3444354
Alabama,AL,South,1971,3497076
Alabama,AL,South,1972,3539400
Alabama,AL,South,1973,3579780
Alabama,AL,South,1974,3626499
Alabama,AL,South,1975,3678814
Alabama,AL,South,1976,3735139
Alabama,AL,South,1977,3780403
Alabama,AL,South,1978,3831836
Alabama,AL,South,1979,3866248
Alabama,AL,South,1980,3900368
Alabama,AL,South,1981,3918531
Alabama,AL,South,1982,3925266
Alabama,AL,South,1983,3934102
Alabama,AL,South,1984,3951820
Alabama,AL,South,1985,3972523
Alabama,AL,South,1986,3991569
Alabama,AL,South,1987,4015264
Alabama,AL,South,1988,4023844
Alabama,AL,South,1989,4030222
Alabama,AL,South,1990,4048508
Alabama,AL,South,1991,4091025
Alabama,AL,South,1992,4139269
Alabama,AL,South,1993,4193114
Alabama,AL,South,1994,4232965
Alabama,AL,South,1995,4262731
Alabama,AL,South,1996,4290403
Alabama,AL,South,1997,4320281
Alabama,AL,South,1998,4351037
Alabama,AL,South,1999,4369862
Alabama,AL,South,2000,4452173
Alabama,AL,South,2001,4467634
Alabama,AL,South,2002,4480089
Alabama,AL,South,2003,4503491
Alabama,AL,South,2004,4530729
Alabama,AL,South,2005,4569805
Alabama,AL,South,2006,4628981
Alabama,AL,South,2007,4672840
Alabama,AL,South,2008,4718206
Alabama,AL,South,2009,4757938
Alabama,AL,South,2010,4785822
Alabama,AL,South,2011,4801695
Alabama,AL,South,2012,4817484
Alabama,AL,South,2013,4833996
Alabama,AL,South,2014,4849377
Alabama,AL,South,2015,4858979
Alabama,AL,South,2016,4863525
Alabama,AL,South,2017,4874486
Alabama,AL,South,2018,4887681
Alabama,AL,South,2019,4903185
Alaska,AK,West,1950,135000
Alaska,AK,West,1951,158000
Alaska,AK,West,1952,189000
Alaska,AK,West,1953,205000
Alaska,AK,West,1954,215000
Alaska,AK,West,1955,222000
Alaska,AK,West,1956,224000
Alaska,AK,West,1957,231000
Alaska,AK,West,1958,224000
Alaska,AK,West,1959,224000
Alaska,AK,West,1960,229000
Alaska,AK,West,1961,238000
Alaska,AK,West,1962,246000
Alaska,AK,West,1963,256000
Alaska,AK,West,1964,263000
Alaska,AK,West,1965,271000
Alaska,AK,West,1966,271000
Alaska,AK,West,1967,278000
Alaska,AK,West,1968,285000
Alaska,AK,West,1969,296000
Alaska,AK,West,1970,302583
Alaska,AK,West,1971,315510
Alaska,AK,West,1972,324464
Alaska,AK,West,1973,330543
Alaska,AK,West,1974,341063
Alaska,AK,West,1975,376170
Alaska,AK,West,1976,400969
Alaska,AK,West,1977,403436
Alaska,AK,West,1978,404766
Alaska,AK,West,1979,402753
Alaska,AK,West,1980,405315
Alaska,AK,West,1981,418491
Alaska,AK,West,1982,449606
Alaska,AK,West,1983,488417
Alaska,AK,West,1984,513702
Alaska,AK,West,1985,532495
Alaska,AK,West,1986,544268
Alaska,AK,West,1987,539309
Alaska,AK,West,1988,541983
Alaska,AK,West,1989,547159
Alaska,AK,West,1990,553120
Alaska,AK,West,1991,569273
Alaska,AK,West,1992,587073
Alaska,AK,West,1993,596993
Alaska,AK,West,1994,600624
Alaska,AK,West,1995,601345
Alaska,AK,West,1996,604918
Alaska,AK,West,1997,608846
Alaska,AK,West,1998,615205
Alaska,AK,West,1999,619500
Alaska,AK,West,2000,627963
Alaska,AK,West,2001,633714
Alaska,AK,West,2002,642337
Alaska,AK,West,2003,648414
Alaska,AK,West,2004,659286
Alaska,AK,West,2005,666946
Alaska,AK,West,2006,675302
Alaska,AK,West,2007,680300
Alaska,AK,West,2008,687455
Alaska,AK,West,2009,698895
Alaska,AK,West,2010,713856
Alaska,AK,West,2011,722572
Alaska,AK,West,2012,731081
Alaska,AK,West,2013,737259
Alaska,AK,West,2014,736732
Alaska,AK,West,2015,738432
Alaska,AK,West,2016,741456
Alaska,AK,West,2017,739700
Alaska,AK,West,2018,735139
Alaska,AK,West,2019,731545
Arizona,AZ,West,1900,124000
Arizona,AZ,West,1901,131000
Arizona,AZ,West,1902,138000
Arizona,AZ,West,1903,144000
Arizona,AZ,West,1904,151000
Arizona,AZ,West,1905,158000
Arizona,AZ,West,1906,167000
Arizona,AZ,West,1907,176000
Arizona,AZ,West,1908,186000
Arizona,AZ,West,1909,196000
Arizona,AZ,West,1910,206000
Arizona,AZ,West,1911,212000
Arizona,AZ,West,1912,217000
Arizona,AZ,West,1913,236000
Arizona,AZ,West,1914,253000
Arizona,AZ,West,1915,263000
Arizona,AZ,West,1916,282000
Arizona,AZ,West,1917,311000
Arizona,AZ,West,1918,320000
Arizona,AZ,West,1919,329000
Arizona,AZ,West,1920,340000
Arizona,AZ,West,1921,351000
Arizona,AZ,West,1922,360000
Arizona,AZ,West,1923,371000
Arizona,AZ,West,1924,382000
Arizona,AZ,West,1925,393000
Arizona,AZ,West,1926,403000
Arizona,AZ,West,1927,414000
Arizona,AZ,West,1928,422000
Arizona,AZ,West,1929,430000
Arizona,AZ,West,1930,434000
Arizona,AZ,West,1931,429000
Arizona,AZ,West,1932,426000
Arizona,AZ,West,1933,426000
Arizona,AZ,West,1934,428000
Arizona,AZ,West,1935,434000
Arizona,AZ,West,1936,443000
Arizona,AZ,West,1937,453000
Arizona,AZ,West,1938,466000
Arizona,AZ,West,1939,484000
Arizona,AZ,West,1940,499000
Arizona,AZ,West,1941,490000
Arizona,AZ,West,1942,524000
Arizona,AZ,West,1943,692000
Arizona,AZ,West,1944,610000
Arizona,AZ,West,1945,594000
Arizona,AZ,West,1946,616000
Arizona,AZ,West,1947,653000
Arizona,AZ,West,1948,690000
Arizona,AZ,West,1949,714000
Arizona,AZ,West,1950,756000
Arizona,AZ,West,1951,785000
Arizona,AZ,West,1952,842000
Arizona,AZ,West,1953,894000
Arizona,AZ,West,1954,933000
Arizona,AZ,West,1955,987000
Arizona,AZ,West,1956,1053000
Arizona,AZ,West,1957,1125000
Arizona,AZ,West,1958,1193000
Arizona,AZ,West,1959,1261000
Arizona,AZ,West,1960,1321000
Arizona,AZ,West,1961,1407000
Arizona,AZ,West,1962,1471000
Arizona,AZ,West,1963,1521000
Arizona,AZ,West,1964,1556000
Arizona,AZ,West,1965,1584000
Arizona,AZ,West,1966,1614000
Arizona,AZ,West,1967,1646000
