county,county_code,state,rate
Autauga,001,Alabama,4.9
Blount,009,Alabama,4.1
Chambers,017,Alabama,6.8
Chilton,021,Alabama,5
Colbert,033,Alabama,6.6
Dale,045,Alabama,4.9
Elmore,051,Alabama,4.9
Hale,065,Alabama,9.4
Lawrence,079,Alabama,4.9
Limestone,083,Alabama,4.3
Monroe,099,Alabama,8.2
Pickens,107,Alabama,6.5
Talladega,121,Alabama,7
Van Buren,141,Arkansas,7.1
White,145,Arkansas,6.2
Amador,005,California,9.1
Glenn,021,California,8.9
Lake,033,California,9.6
Mariposa,043,California,10.9
Napa,055,California,8.7
Shasta,089,California,8.7
Stanislaus,099,California,10.7
Yuba,115,California,10.5
Alamosa,003,Colorado,6.4
Boulder,013,Colorado,6.2
Broomfield,014,Colorado,6.6
Crowley,025,Colorado,5.4
Denver,031,Colorado,8.2
Douglas,035,Colorado,5.8
Gilpin,047,Colorado,11.3
Marion,083,Florida,7
Monroe,087,Florida,7.9
Orange,095,Florida,10.6
St. Lucie,111,Florida,7.8
Sumter,119,Florida,7.9
Union,125,Florida,4.7
Appling,001,Georgia,4.7
Barrow,013,Georgia,5.1
Bryan,029,Georgia,5.3
Candler,043,Georgia,4.4
Chattooga,055,Georgia,8.4
Clarke,059,Georgia,6.4
Colquitt,071,Georgia,4.5
Crawford,079,Georgia,5
Dodge,091,Georgia,6
Emanuel,107,Georgia,7.1
Fayette,113,Georgia,5.4
Gilmer,123,Georgia,4.7
Hinsdale,053,Colorado,4.2
Jackson,057,Colorado,4.3
Jefferson,059,Colorado,7.1
Lincoln,073,Colorado,4.5
Montezuma,083,Colorado,7.1
Phillips,095,Colorado,2.7
Rio Grande,105,Colorado,7.1
San Juan,111,Colorado,6.7
Weld,123,Colorado,7
Windham,015,Connecticut,7.8
Alachua,001,Florida,5.4
Calhoun,013,Florida,5.2
Columbia,023,Florida,5.8
Gadsden,039,Florida,6.8
Highlands,055,Florida,7.7
Holmes,059,Florida,5.5
Leon,073,Florida,5.8
Cochise,003,Arizona,7
Maricopa,013,Arizona,7.4
Arkansas,001,Arkansas,4
Boone,009,Arkansas,5.3
Clark,019,Arkansas,5.9
Conway,029,Arkansas,6
Drew,043,Arkansas,6.9
Garland,051,Arkansas,8
Howard,061,Arkansas,5
Johnson,071,Arkansas,6.3
Lonoke,085,Arkansas,5.5
Montgomery,097,Arkansas,6.8
Newton,101,Arkansas,5
Poinsett,111,Arkansas,5.5
St. Francis,123,Arkansas,7.9
Searcy,129,Arkansas,6.4
Wheeler,309,Georgia,7.2
Whitfield,313,Georgia,7.3
Wilkinson,319,Georgia,5.4
Boise,015,Idaho,8
Boundary,021,Idaho,6.2
Gem,045,Idaho,5.9
Jefferson,051,Idaho,3.4
Latah,057,Idaho,4.7
