state,code,feb,apr
Alabama,AL,2.7,13.8
Alaska,AK,5.8,13.5
Arizona,AZ,4.5,13.4
Arkansas,AR,3.5,10.8
California,CA,3.9,16.4
Colorado,CO,2.5,12.2
Connecticut,CT,3.8,8.3
Delaware,DC,3.9,14.9
District of Columbia,DE,5.1,11.7
Florida,FL,2.8,13.8
Georgia,GA,3.1,12.6
Hawaii,HI,2.7,23.8
Idaho,ID,2.7,11.8
Illinois,IL,3.4,17.2
Indiana,IN,3.1,17.5
Iowa,IA,2.8,11
Kansas,KS,3.1,11.9
Kentucky,KY,4.2,16.6
Louisiana,LA,5.2,15.1
Maine,ME,3.2,10.4
Maryland,MD,3.3,10.1
Massachusetts,MA,2.8,16.2
Michigan,MI,3.6,24
Minnesota,MN,3.1,8.7
Mississippi,MS,5.4,16.3
Missouri,MO,3.5,10.2
Montana,MT,3.5,11.9
Nebraska,NE,2.9,8.7
Nevada,NV,3.6,30.1
New Hampshire,NH,2.6,17.1
New Jersey,NJ,3.8,16.3
New Mexico,NM,4.8,11.9
New York,NY,3.7,15.3
North Carolina,NC,3.6,12.9
North Dakota,ND,2.2,9.1
Ohio,OH,4.1,17.6
Oklahoma,OK,3.2,14.7
Oregon,OR,3.3,14.9
Pennsylvania,PA,4.7,16.1
Rhode Island,RI,3.4,18.1
South Carolina,SC,2.5,12.8
South Dakota,SD,3.3,10.9
Tennessee,TN,3.4,15.5
Texas,TX,3.5,13.5
Utah,UT,2.5,10.4
Vermont,VT,2.4,16.5
Virginia,VA,2.6,11.2
Washington,WA,3.8,16.3
West Virginia,WV,4.9,15.9
Wisconsin,WI,3.5,13.6
Wyoming,WY,3.7,9.6
