state,wbi,quintile
Alabama,50,5
Alaska,60,2
Arizona,58,3
Arkansas,49,5
California,67,1
Colorado,65,1
Connecticut,66,1
Delaware,55,4
Florida,60,2
Georgia,53,5
Hawaii,70,1
Idaho,58,3
Illinois,63,2
Indiana,53,5
Iowa,57,3
Kansas,58,3
Kentucky,49,5
Louisiana,52,5
Maine,57,4
Maryland,64,2
Massachusetts,69,1
Michigan,57,4
Minnesota,61,2
Mississippi,46,5
Missouri,57,4
Montana,57,4
Nebraska,62,2
Nevada,58,3
New Hampshire,64,1
New Jersey,68,1
New Mexico,53,5
New York,68,1
North Carolina,56,4
North Dakota,57,3
Ohio,55,4
Oklahoma,51,5
Oregon,64,1
Pennsylvania,59,3
Rhode Island,60,2
South Carolina,56,4
South Dakota,56,4
Tennessee,54,4
Texas,58,3
Utah,66,1
Vermont,60,2
Virginia,63,2
Washington,63,2
West Virginia,48,5
Wisconsin,58,3
Wyoming,59,3
