state,region,01/01/2007_date,02/01/2007_date,03/01/2007_date,04/01/2007_date,05/01/2007_date,06/01/2007_date,07/01/2007_date,08/01/2007_date,09/01/2007_date,10/01/2007_date,11/01/2007_date,12/01/2007_date,01/01/2008_date,02/01/2008_date,03/01/2008_date,04/01/2008_date,05/01/2008_date,06/01/2008_date,07/01/2008_date,08/01/2008_date,09/01/2008_date,10/01/2008_date,11/01/2008_date,12/01/2008_date,01/01/2009_date,02/01/2009_date,03/01/2009_date,04/01/2009_date,05/01/2009_date,06/01/2009_date,07/01/2009_date,08/01/2009_date,09/01/2009_date,10/01/2009_date,11/01/2009_date,12/01/2009_date,01/01/2010_date,02/01/2010_date,03/01/2010_date,04/01/2010_date,05/01/2010_date,06/01/2010_date,07/01/2010_date,08/01/2010_date,09/01/2010_date,10/01/2010_date,11/01/2010_date,12/01/2010_date,01/01/2011_date,02/01/2011_date,03/01/2011_date,04/01/2011_date,05/01/2011_date,06/01/2011_date,07/01/2011_date,08/01/2011_date,09/01/2011_date,10/01/2011_date,11/01/2011_date,12/01/2011_date,01/01/2012_date,02/01/2012_date,03/01/2012_date,04/01/2012_date,05/01/2012_date,06/01/2012_date,07/01/2012_date,08/01/2012_date,09/01/2012_date,10/01/2012_date,11/01/2012_date,12/01/2012_date,01/01/2013_date,02/01/2013_date,03/01/2013_date,04/01/2013_date,05/01/2013_date,06/01/2013_date,07/01/2013_date,08/01/2013_date,09/01/2013_date,10/01/2013_date,11/01/2013_date,12/01/2013_date,01/01/2014_date,02/01/2014_date,03/01/2014_date,04/01/2014_date,05/01/2014_date,06/01/2014_date,07/01/2014_date,08/01/2014_date,09/01/2014_date,10/01/2014_date,11/01/2014_date,12/01/2014_date,01/01/2015_date,02/01/2015_date,03/01/2015_date,04/01/2015_date,05/01/2015_date,06/01/2015_date,07/01/2015_date,08/01/2015_date,09/01/2015_date,10/01/2015_date,11/01/2015_date,12/01/2015_date,01/01/2016_date,02/01/2016_date,03/01/2016_date,04/01/2016_date,05/01/2016_date,06/01/2016_date,07/01/2016_date,08/01/2016_date,09/01/2016_date,10/01/2016_date,11/01/2016_date,12/01/2016_date,01/01/2017_date,02/01/2017_date,03/01/2017_date,04/01/2017_date,05/01/2017_date,06/01/2017_date,07/01/2017_date,08/01/2017_date,09/01/2017_date,10/01/2017_date,11/01/2017_date,12/01/2017_date,01/01/2018_date,02/01/2018_date,03/01/2018_date,04/01/2018_date,05/01/2018_date,06/01/2018_date,07/01/2018_date,08/01/2018_date,09/01/2018_date,10/01/2018_date,11/01/2018_date,12/01/2018_date,01/01/2019_date,02/01/2019_date,03/01/2019_date,04/01/2019_date,05/01/2019_date,06/01/2019_date,07/01/2019_date,08/01/2019_date,09/01/2019_date
Alabama,South,1991.1,2004.7,2021.7,2017.6,2026.1,2034.3,2010,2020.6,2030.6,2030.8,2040.6,2046.1,2002.6,2012.3,2020.5,2025.8,2029.6,2028.3,2005.3,2007.6,2009.6,1999.8,1989.6,1983.8,1922.9,1918.6,1918.6,1918.2,1917.3,1912.5,1890.8,1888,1891.3,1888.3,1896.3,1896.7,1858.3,1864.4,1879.8,1891.4,1907.1,1907.8,1888.2,1886.9,1891.7,1897.7,1904.3,1903.6,1858.7,1873.6,1886.2,1894.6,1897.3,1896.9,1881.7,1886.9,1899.9,1894.4,1905.3,1904.7,1870.4,1882.8,1901.5,1909.6,1912.5,1916.7,1892.7,1903.4,1911.2,1914,1927.5,1926.2,1885.5,1903.4,1917.8,1926.4,1934.2,1935.2,1915.2,1923.2,1927.4,1929.6,1942.6,1947.2,1905.7,1915.4,1930,1944.1,1950.5,1953.2,1934.1,1945,1953,1959,1966.3,1974,1932.5,1945,1953.7,1969.1,1978.2,1979.7,1965.9,1972.4,1977.6,1985.9,1993.7,2000.1,1962.9,1974.7,1984.8,2001.5,2003.7,2003.9,1991.6,1998,2007,2005.7,2013.5,2016.2,1984.4,1999,2010.7,2016.5,2023,2028.1,2011.3,2019.5,2024.5,2030.6,2039.2,2037,2001.9,2018.5,2029.9,2039.9,2042.9,2050.9,2037.1,2045.3,2047.2,2059.9,2064.4,2066.6,2037.9,2053.9,2064.7,2074.6,2081.6,2082.6,2076.7,2083.2,2093.8
Alaska,West,296.2,302.9,305.7,309.7,321.9,336.5,339.6,340.3,332,315.2,308,304.6,300.2,306,308.4,312.9,327.2,341,346.2,345.4,337.2,319,311.6,309.1,302.6,307.6,308.9,313.5,323.2,338.3,343.8,342.6,334.1,317.9,310.4,307.3,303,307,309.4,315.5,325.7,343.6,349.6,347.8,341.4,324.8,317.5,314.1,308.6,314.2,316.4,321.2,330.5,348.8,354,352.6,347.2,329.4,321.3,318,312.6,320.2,322.9,326.7,337.9,354.5,358.1,357.3,349,336.4,325.5,321.8,314.7,322.3,324.7,329.3,340.1,355.3,360.2,359.8,351.3,333.5,325.1,322.1,318.6,322.9,325.5,331.2,344,356.4,362.4,360.3,350.6,335.1,326.3,324.2,321.9,326.2,328.4,332.8,345.1,358,365,360.3,351.1,334.2,324.2,321.4,317.7,322.1,323.7,330,340.2,351.8,358.1,354,342.5,328.1,318,316,310.5,317.2,318.2,321.9,335.3,349.7,353.6,351.2,340.5,325.2,314.7,312.1,308,314.7,316.3,319.3,332.6,347,351.3,349.1,338.7,323.6,313.8,313.7,311.6,317.7,320,324.7,334.5,353.4,358.4,353.2,343.1
Arizona,West,2636.2,2674.1,2692.1,2682.1,2687.1,2655.6,2629.4,2668.1,2688.7,2701.2,2718.4,2719.7,2650.4,2673.3,2672.3,2661.8,2655,2605.5,2563.4,2601.6,2607.5,2600.5,2596.9,2581.8,2498.8,2493.7,2485,2467.4,2451.8,2391.6,2363.4,2387.5,2400.7,2407.3,2421.5,2422,2366.2,2385,2396.6,2407.1,2413.8,2351.7,2326.7,2357.2,2373.9,2402.2,2423.1,2430,2379.2,2402.4,2414.8,2426.6,2425.8,2361.7,2337.7,2392.9,2422.6,2440.5,2464.6,2467.7,2425.2,2448.4,2466.3,2468,2464.1,2420.2,2387.7,2445.2,2474.8,2494.2,2523,2531.1,2478.5,2505.1,2517.8,2526.9,2524.1,2472.6,2451,2502.1,2530.4,2553.6,2586,2592.1,2536.1,2558.1,2566.4,2577.7,2564.9,2520.1,2497.1,2547.8,2576.1,2610,2639.4,2649.5,2596.3,2621.6,2628.8,2639.7,2630,2576.7,2563.4,2614.7,2646.5,2686,2715.1,2718.1,2663.7,2693.1,2701.8,2717.4,2704,2647.4,2642,2690.6,2730.4,2754.7,2778.5,2782.5,2731.3,2758.8,2769.4,2782.4,2769.2,2726.9,2703.8,2758.3,2794.6,2823.3,2852,2857,2807.5,2839.4,2850.6,2852.5,2844.6,2796.7,2783.3,2845.9,2877,2903.6,2936.5,2934.6,2886.2,2912.5,2918.9,2929.6,2919.3,2872.9,2860.5,2920.1,2942
Arkansas,South,1185.8,1192.3,1206.8,1206.9,1211.6,1210.3,1188.9,1201.7,1212.6,1209.9,1211.7,1213.7,1191.8,1198.9,1206.6,1207.1,1212.8,1209.4,1190.8,1200.2,1211.2,1204.9,1200,1195.9,1167,1168.4,1173,1174,1171,1164.2,1151.3,1154.8,1164.4,1161.5,1163,1162.5,1136,1137.6,1154,1162.9,1175.2,1177.6,1159,1164.3,1172.2,1171.2,1172.3,1172.8,1148.3,1148.2,1162,1177.9,1173.9,1166.3,1159.7,1166.4,1178.3,1184,1184.6,1183.8,1160.4,1166.2,1177.7,1182.9,1188.1,1181.8,1161.9,1170.9,1181,1182.8,1184.9,1187.1,1161.7,1170.6,1177.3,1182.9,1186.5,1176.7,1162.2,1169.2,1183.6,1186.4,1189.8,1184.8,1164.4,1173,1182,1190.5,1198.3,1190.1,1173.7,1183.9,1200.1,1203.1,1208.5,1212.1,1187,1196.6,1198.1,1209.6,1219.1,1212.2,1198.9,1210,1227.3,1228.8,1233.9,1237.1,1210.5,1220.2,1227.9,1235.9,1239,1231.8,1218.2,1227,1245.3,1245.3,1247.7,1247.5,1224.5,1235.6,1243.1,1251.2,1254.5,1248.7,1232,1241.3,1259.3,1262,1266.6,1265.8,1242.8,1253.1,1260.2,1264.7,1269.1,1258.7,1245.9,1254.9,1270.3,1273.2,1276.7,1273.3,1255.2,1264.7,1270.3,1279.5,1283.1,1279,1266.7,1269.6,1286.2
California,West,15215.8,15327.3,15433.6,15386.3,15478.2,15552.6,15424.3,15435.1,15496.6,15537,15606.1,15649.3,15243.3,15335.8,15388.8,15400.5,15437,15463,15253.4,15241.1,15268.9,15241.2,15182.4,15143.7,14689.1,14623.6,14602.2,14537.5,14545.4,14515.6,14223.3,14202.2,14220.7,14352.3,14374.1,14383,14048.8,14089.6,14158.1,14290,14382.9,14395.8,14187.2,14209.5,14266.2,14413.3,14464.1,14494.5,14197.7,14280.5,14339.8,14405.1,14452.3,14471,14324,14370.9,14467.2,14574.8,14655.5,14677.8,14435.3,14532.1,14626.5,14664.3,14763.3,14830,14658.2,14737.7,14803.3,14945.7,15061.7,15084.3,14796.3,14922.1,15000,15065.1,15148.1,15178.6,15032.5,15146.3,15200.8,15344.5,15482.2,15498.7,15230,15327.2,15411.3,15477.6,15564.4,15595.4,15435.7,15573.4,15645.4,15800.2,15914.3,15938.6,15662.1,15757.7,15846.1,15919.4,16000.1,16038.6,15980.7,16077.5,16142.5,16330.8,16424.5,16448.2,16150.5,16261.9,16284.2,16431,16481.6,16468.8,16394,16469.2,16552.9,16694.3,16787,16793.1,16462.5,16582.4,16671.5,16744,16838.1,16883.5,16730.3,16816.7,16902.7,17054.4,17164.8,17189.4,16880.7,17008,17059.7,17119,17179.6,17226.2,17050.5,17151.8,17191.5,17344.3,17440.7,17449.8,17135.3,17243,17313.8,17401.6,17441,17520.5,17377.1,17456.8,17519.3
Colorado,West,2261.8,2279.6,2305.4,2312.1,2326.7,2357.3,2341,2349.4,2351.2,2349.5,2358.1,2371.9,2313.6,2330,2342.6,2348.1,2358.8,2378,2362.2,2368.2,2359.8,2350.7,2339.8,2339.3,2270,2260.7,2256.9,2246.9,2249.5,2257.5,2236.5,2234.3,2231,2230.2,2226.1,2233.4,2173.6,2187.2,2199.9,2210.6,2224.4,2240,2230.2,2233.2,2227.6,2235.1,2237.4,2253.6,2201.8,2212.1,2227.7,2246.8,2251.4,2273.4,2262.1,2272.9,2278.8,2276.4,2283.4,2300.5,2248.4,2261.9,2281.2,2291.4,2301.8,2329.3,2317.9,2327.7,2329,2339.9,2349.7,2362.3,2309.9,2331,2348.4,2357.3,2370.1,2395.3,2388.3,2402.2,2402,2408,2420.1,2433.6,2389.7,2405.1,2421.9,2438.6,2452.6,2478,2470.5,2487.1,2488,2500.2,2505.2,2527.1,2481.4,2498.3,2508.7,2521.7,2530.6,2555.3,2550.3,2554.8,2557.1,2567,2575.5,2591.6,2543.2,2558.4,2570,2587,2582.2,2614.4,2615.5,2622,2627.5,2624.6,2631.1,2645.2,2590.8,2612.5,2630.8,2641.6,2647.2,2678.4,2672.2,2679.5,2681,2686.4,2692.7,2711.7,2661.1,2679.8,2696.4,2709.3,2715.4,2747.9,2745.8,2751.7,2734.8,2744.8,2750.4,2765.8,2711.5,2729.4,2745.7,2756.7,2767.6,2801.4,2804.2,2803.2,2793.7
Connecticut,Northeast,1666.5,1671.3,1676.1,1693.3,1704.7,1719.4,1692.5,1691.1,1710.2,1719.6,1729.4,1735.2,1686.4,1693.3,1699.2,1712.2,1720.6,1726.6,1692.8,1688.5,1704.2,1707.6,1708,1704.1,1640.2,1640.3,1634.1,1633,1643.1,1641.5,1610.3,1603,1624.3,1628.9,1633.9,1636.4,1568.7,1576.8,1582.6,1607.8,1625.9,1625.9,1609,1604.7,1624.5,1635.9,1641.2,1644.6,1591.7,1603,1605.6,1633.4,1638.3,1638.5,1623.8,1616,1639.2,1643.4,1650.9,1656.2,1607.1,1618.5,1626.1,1638,1649.2,1654.2,1633.7,1628.2,1650.8,1659.4,1668.3,1672.8,1618.3,1621.6,1632.5,1655.3,1665.8,1676.3,1655.9,1646.7,1661.4,1667.8,1679,1676.4,1631,1630.6,1639.9,1665.6,1677.9,1684.1,1661.2,1656.4,1674,1683.5,1693,1695.4,1649.7,1647.6,1654.8,1676.2,1693.3,1701.4,1671.2,1665.1,1682.8,1696.7,1704.5,1703.9,1654.9,1658,1668.5,1681.6,1696.3,1700.8,1679.7,1672.3,1689.5,1696.4,1704.3,1704.3,1661.5,1662.1,1667.5,1683.2,1698.3,1709,1681.9,1676.4,1692.5,1698.5,1708.8,1708.7,1658.7,1664.6,1667.4,1681.1,1699,1708.5,1683.6,1678.4,1695,1704.3,1714.2,1713.3,1665.7,1670.1,1675.5,1692.7,1703.7,1712.9,1697.7,1687.7,1702.8
Delaware,South,428.8,427.7,432.9,436.8,442.5,445.9,441.7,441.2,440.3,440.6,444.3,445.8,430.7,431.8,434.9,439.7,441.8,443.6,439.8,438.2,436.3,435.4,435.9,433.4,416,414.2,415.3,416.9,422.2,421.6,416.8,415.6,415.1,416.5,416,414.8,399.9,397.2,404,411.6,417.2,420,420.2,419.1,419.3,418.1,419,420.1,406.7,407.8,412,419.6,420.4,421.6,420.7,418.5,419.9,418.1,420.1,420.9,406.9,407.9,412.8,416.6,422.4,423.4,423,422.2,421.8,423.9,427.2,427.4,413.2,415,419.9,425,430.3,432.6,432.4,432.7,432.3,434.6,439.2,436.7,424.3,423.7,428.3,434.1,440.9,442.9,442,441.3,440.9,443.2,448.2,449,433.9,434,438.5,443.3,451.2,453.7,454.5,451.4,451.4,452.6,457.4,457,441.1,441.4,445.9,451,454.5,457.4,459,456.1,455.2,455.5,458.5,458.6,446.7,446.7,450,454.1,457.4,462.4,461.5,458.9,459.3,458,462,462,448.8,450.8,454.2,459.9,465.5,467.4,466.6,463.4,461.9,464.1,466.6,465.8,454.6,456.7,458.7,464.2,469.2,472.1,471.5,468.9,469.9
District of Columbia,South,680.7,689.2,692,692.1,689.5,691.2,701.4,695.4,690.3,700.4,701.4,702,689,693.7,698.3,701.3,702.7,704.1,720.1,715.9,705.2,706,706.1,704.6,697.9,697.5,697.3,696.5,697.3,698.1,718.1,706.7,694.2,703.9,706.9,705.7,698.3,695.6,703.5,713.7,715.5,715.5,732.2,707.7,711.1,717.4,718.5,717.5,713.8,716.9,721.5,727.7,723.8,726.3,740.8,724.7,730.2,729.5,729.2,728.5,720.6,723.9,728.5,729.1,732.2,730.5,740.7,726.4,733.4,741.1,742.7,741.5,729.6,734.3,737.5,744.2,744.8,739,752.8,738.8,747.4,748.8,752.7,750.6,732.8,737.5,740.9,746.2,745.4,747,759,744.4,752,757.1,758.6,756.9,748.1,753.9,755.9,759.1,758.7,760,777,761.8,765.9,774.5,775.9,776.9,762.2,770.7,773.2,779.1,774.9,774.9,787.8,773.4,778.7,783.7,784.9,781.9,771.3,777.9,783.1,783,781.9,783.8,794,780.3,785.2,791.4,791.8,790.2,779.9,787.9,791.2,793.3,791.1,793.9,801.5,787.6,791.4,797.6,795.4,795,786.4,791.3,794.1,796.7,791.7,799,809.7,799,799.8
Florida,South,7994,8061.3,8125.6,8077.4,8071.9,7963.6,7854.6,7953.2,7940.4,7929.7,8002.5,8035.5,7853.2,7909.9,7931.3,7847.6,7816.4,7675.1,7564.9,7638.9,7610.7,7582.2,7589.6,7588.7,7379.7,7380.2,7375,7326.9,7287.4,7154.9,7065.7,7132.6,7127.8,7152.8,7206.8,7226.2,7096.4,7148.2,7195.5,7215.2,7239.1,7117.5,7060.4,7145.2,7135.9,7199.5,7260.2,7289.2,7175.7,7227.1,7274,7311.1,7280.9,7166.9,7129.1,7214.6,7242.2,7283.8,7359.7,7392.9,7285.4,7348.2,7408.3,7427.4,7417.5,7323.2,7268.9,7366.7,7383.1,7455.5,7544.2,7569.1,7446.3,7523.4,7577.1,7587.2,7589.1,7497.9,7461.9,7569.7,7582.8,7650.9,7754.9,7785.1,7665.3,7738.4,7794.6,7824,7830.9,7731.5,7702.4,7814.6,7833.3,7921.5,8017.5,8060.8,7943.1,8016.5,8068,8094.8,8100.9,8008.2,7987.1,8092.5,8109.3,8224.5,8321.4,8362.8,8238.8,8315.1,8360.9,8397.5,8386.6,8274,8275.1,8371.3,8408.6,8467.8,8567.4,8596,8488.1,8550.5,8590.8,8593.6,8594.4,8492.8,8455.3,8549.7,8390.3,8638.6,8747.4,8778,8655.1,8735.2,8776.2,8779.3,8773.6,8676.3,8645.4,8767.4,8774.5,8855.3,8954.8,8989.9,8863.9,8940.5,8978.8,8991,8993.4,8902.8,8890,8997.5,8998.9
